row_label_raw,row_label_full,col_0,Consolidated balance sheet,Consolidated balance sheet_1,Consolidated income statement,Consolidated income statement_1,numeric__Consolidated balance sheet,numeric__Consolidated balance sheet_1,numeric__Consolidated income statement,numeric__Consolidated income statement_1
,,,Ending balance,Beginning balance,Current year,Previous year,,,,
Deferred tax assets,Deferred tax assets,Deferred tax assets,Deferred tax assets,Deferred tax assets,Deferred tax assets,Deferred tax assets,,,,
"Intra-group unrealised profits (""URP"") eliminated in consolidation","Intra-group unrealised profits (""URP"") eliminated in consolidation","Intra-group unrealised profits (""URP"") eliminated in consolidation","320,655,042,387","274,858,709,545","45,796,332,842","66,370,222,543",,,,
Accrued expenses,Accrued expenses,Accrued expenses,"69,295,702,103","69,810,157,655","(514,455,552)","(4,563,041,843)",,,,
Prepayment of corporate income tax based on payment progress of customers (i),Prepayment of corporate income tax based on payment progress of customers (i),Prepayment of corporate income tax based on payment progress of customers (i),"41,643,779,282","38,770,930,695","2,872,848,587","(26,695,199,391)",,,,
Tax loss available for offset against future taxable income,Tax loss available for offset against future taxable income,Tax loss available for offset against future taxable income,"18,794,595,121",-,"18,794,595,121","(92,926,527,946)",,,,
Others,Others,Others,"27,052,221,078","17,804,571,707","9,247,649,371","10,942,066,719",,,,
,,,"477,441,339,971","401,244,369,602",,,,,,
Deferred tax liabilities,Deferred tax liabilities,Deferred tax liabilities,Deferred tax liabilities,Deferred tax liabilities,Deferred tax liabilities,Deferred tax liabilities,,,,
Deductible interest expenses at entity level but capitalised on the consolidated financial statements,Deductible interest expenses at entity level but capitalised on the consolidated financial statements,Deductible interest expenses at entity level but capitalised on the consolidated financial statements,"(171,302,432,152)","(139,479,898,197)","(31,822,533,955)","30,128,500,489",,,,
Fair value adjustment on assets acquired in business combination,Fair value adjustment on assets acquired in business combination,Fair value adjustment on assets acquired in business combination,"(1,693,182,589)","(909,064,994,836)","65,839,503,577","(29,418,352,727)",,,,
Deductible expenses at entity level but capitalised in cost of investment on the consolidated financial statements,Deductible expenses at entity level but capitalised in cost of investment on the consolidated financial statements,Deductible expenses at entity level but capitalised in cost of investment on the consolidated financial statements,-,"(4,920,000,000)",-,-,,,,
,,,"(172,995,614,741)","(1,053,464,893,033)",,,,,,
Net deferred tax income (charge),Net deferred tax income (charge),Net deferred tax income (charge),,,"110,213,939,991","(46,162,332,156)",,,,
