row_label_raw,row_label_full,Code,RESOURCES,Notes,Ending balance,Beginning balance,numeric__RESOURCES,numeric__Notes,numeric__Ending balance,numeric__Beginning balance
300,300,300,C. LIABILITIES,,"11,740,271,874,301","15,749,187,725,780",,,,
310,310,310,I. Current liabilities,,"6,453,837,316,303","10,226,506,290,209",,,,
311,310 > 311,311,1. Short-term trade payables,18,"463,429,872,158","1,027,334,006,102",,18.0,,
312,310 > 312,312,2. Short-term advances from customers,19,"2,588,129,793,111","3,023,679,812,978",,19.0,,
313,310 > 313,313,3. Statutory obligations,20,"228,275,143,005","389,720,985,702",,20.0,,
314,314,314,4. Payables to employees,,"64,959,983,608","51,874,175,133",,,,
315,314 > 315,315,5. Short-term accrued expenses,21,"1,037,266,699,685","1,249,233,122,028",,21.0,,
318,314 > 318,318,6. Short-term unearned revenues,25,"16,053,638,737","25,495,948,477",,25.0,,
319,314 > 319,319,7. Other short-term payables,22,"975,125,268,507","1,418,048,328,492",,22.0,,
320,314 > 320,320,8. Short-term loans,23,"1,016,903,725,515","2,958,461,281,843",,23.0,,
321,314 > 321,321,9. Short-term provisions,26,"23,986,400,823","25,569,315,271",,26.0,,
322,314 > 322,322,10. Bonus and welfare fund,24,"39,706,791,154","57,089,314,183",,24.0,,
330,330,330,II. Non-current liabilities,,"5,286,434,557,998","5,522,681,435,571",,,,
336,330 > 336,336,1. Long-term unearned revenues,25,"331,580,707,573","303,278,857,608",,25.0,,
337,330 > 337,337,2. Other long-term liabilities,22,"189,745,479,501","121,843,808,856",,22.0,,
338,330 > 338,338,3. Long-term loans,23,"4,504,698,075,854","4,002,718,777,782",,23.0,,
341,330 > 341,341,4. Deferred tax liabilities,34.3,"172,995,614,741","1,053,464,893,033",,343.0,,
342,330 > 342,342,5. Long-term provisions,26,"87,414,680,329","41,375,098,292",,26.0,,
400,400,400,D. OWNERS' EQUITY,,"14,824,244,311,089","14,568,926,285,295",,,,
410,410,410,I. Capital,,"14,824,244,311,089","14,568,926,285,295",,,,
411,410 > 411,411,1. Share capital,27.1,"4,850,973,830,000","3,847,774,710,000",,271.0,,
411a,411a,411a,- Shares with voting rights,,"4,850,973,830,000","3,847,774,710,000",,,,
412,411a > 412,412,2. Share premium,27.1,"4,142,389,791,759","2,643,023,306,759",,271.0,,
418,411a > 418,418,3. Investment and development fund,27.1,"10,709,490,423","10,709,490,423",,271.0,,
420,411a > 420,420,4. Other funds belonging to owners' equity,27.1,"2,216,611,139","2,216,611,139",,271.0,,
421,411a > 421,421,5. Undistributed earnings,27.1,"3,655,935,571,970","3,171,439,100,056",,271.0,,
421a,421a,421a,- Undistributed earnings up to prior year-end,,"2,954,563,949,568","2,653,544,391,415",,,,
421b,421b,421b,- Undistributed earnings of current year,,"701,371,622,402","517,894,708,641",,,,
429,421b > 429,429,6. Non-controlling interests,28,"2,162,019,015,798","4,893,763,066,918",,28.0,,
440,440,440,TOTAL LIABILITIES AND OWNERS' EQUITY,,"26,564,516,185,390","30,318,114,011,075",,,,
