row_label_raw,row_label_full,Related parties,Transactions,Ending balance,VNDBeginning balance,numeric__Transactions,numeric__Ending balance,numeric__VNDBeginning balance
Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,,,
DNWF,DNWF,DNWF,Project management services,"136,349,076,679",-,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Project management services,"5,596,025,553","55,740,925,659",,,
"Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.",Project management services,"2,478,065,884","2,478,065,884",,,
Paragon,Paragon,Paragon,Project management services,-,"66,973,000,000",,,
,,,,"144,423,168,116","125,191,991,543",,,
Short-term advances to suppliers,Short-term advances to suppliers,Short-term advances to suppliers,Short-term advances to suppliers,Short-term advances to suppliers,Short-term advances to suppliers,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Advance for purchase of goods,"2,000,000,000",-,,,
"Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.",Advance for management service,"154,440,000","381,440,000",,,
,,,,"2,154,440,000","381,440,000",,,
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Receivables from BCC,"55,445,462,994","55,445,462,994",,,
,,,Dividend income,"3,600,000,000","4,527,312,825",,,
Anabuki NL,Anabuki NL,Anabuki NL,Service,"627,312,825",-,,,
DNWF,DNWF,DNWF,Service,"151,108,245",-,,,
,,,,"59,823,884,064","59,972,775,819",,,
Long-term loan receivables,Long-term loan receivables,Long-term loan receivables,Long-term loan receivables,Long-term loan receivables,Long-term loan receivables,,,
DNWF,DNWF,DNWF,Loan receivable (*),"435,127,112,000",-,,,
"(*) This is loan receivable to finance for the Izumi City Project earned interest at the rate 8% per annum, this loan has a maturity date of 31 December 2027.","(*) This is loan receivable to finance for the Izumi City Project earned interest at the rate 8% per annum, this loan has a maturity date of 31 December 2027.","(*) This is loan receivable to finance for the Izumi City Project earned interest at the rate 8% per annum, this loan has a maturity date of 31 December 2027.","(*) This is loan receivable to finance for the Izumi City Project earned interest at the rate 8% per annum, this loan has a maturity date of 31 December 2027.","(*) This is loan receivable to finance for the Izumi City Project earned interest at the rate 8% per annum, this loan has a maturity date of 31 December 2027.","(*) This is loan receivable to finance for the Izumi City Project earned interest at the rate 8% per annum, this loan has a maturity date of 31 December 2027.",,,
Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,,,
DNWF,DNWF,DNWF,Deposit,"50,000,000,000",-,,,
Tan Hiep,Tan Hiep,Tan Hiep,Deposit,"567,000,000","567,000,000",,,
Anabuki NL,Anabuki NL,Anabuki NL,Deposit,"410,000,000","110,000,000",,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Deposit,"301,263,804",-,,,
,,,,"51,278,263,804","677,000,000",,,
Short-term payable,Short-term payable,Short-term payable,Short-term payable,Short-term payable,Short-term payable,,,
"Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.",Management fee,"47,614,944,866","22,492,001,049",,,
Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Construction consulting service,"90,727,273","147,818,673",,,
Tan Hiep,Tan Hiep,Tan Hiep,Advance for purchase of land plots,-,"2,118,000,000",,,
,,,,"90,727,273","2,265,818,673",,,
