row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Ending balance,Beginning balance,,
Advances for purchases of land use rights,Advances for purchases of land use rights,Advances for purchases of land use rights,"211,503,075,111","350,455,943,618",,
- VSIP Hai Phong Company Limited,- VSIP Hai Phong Company Limited,- VSIP Hai Phong Company Limited,"114,692,130,648","255,816,965,255",,
- Phu Duc Construction Material Manufacturing Company Limited,- Phu Duc Construction Material Manufacturing Company Limited,- Phu Duc Construction Material Manufacturing Company Limited,"50,589,989,194","50,589,989,194",,
- Can Tho Land Fund Development Center,- Can Tho Land Fund Development Center,- Can Tho Land Fund Development Center,"42,291,036,429","40,119,070,329",,
- Others,- Others,- Others,"3,929,918,840","3,929,918,840",,
Advances for construction services,Advances for construction services,Advances for construction services,"90,005,971,060","101,581,994,883",,
- Ricons Construction Investment JSC,- Ricons Construction Investment JSC,- Ricons Construction Investment JSC,"57,082,830,485",-,,
- Dong Nai General Agriculture Services United Cooperative,- Dong Nai General Agriculture Services United Cooperative,- Dong Nai General Agriculture Services United Cooperative,-,"25,837,604,900",,
- Others,- Others,- Others,"32,923,140,575","75,744,389,983",,
Others,Others,Others,"69,397,991,629","40,324,227,442",,
TOTAL,TOTAL,TOTAL,"370,907,037,800","492,362,165,943",,
Provision for doubtful advances to suppliers,Provision for doubtful advances to suppliers,Provision for doubtful advances to suppliers,,,,
- Phu Duc Construction Material Manufacturing Company Limited,- Phu Duc Construction Material Manufacturing Company Limited,- Phu Duc Construction Material Manufacturing Company Limited,"(50,589,989,194)","(50,589,989,194)",,
NET,NET,NET,"320,317,048,606","441,772,176,749",,
In which:,In which:,In which:,,,,
Advance to other suppliers,Advance to other suppliers,Advance to other suppliers,"318,162,608,606","441,390,736,749",,
Advance to related parties (Note 35),Advance to related parties (Note 35),Advance to related parties (Note 35),"2,154,440,000","381,440,000",,
