row_label_raw,row_label_full,col_0,Buildings and structures,Machinery and equipment,Means of transportation,Office equipment and furniture,Other assets,VND Total,numeric__Buildings and structures,numeric__Machinery and equipment,numeric__Means of transportation,numeric__Office equipment and furniture,numeric__Other assets,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"96,795,133,190","28,964,552,256","33,815,223,815","11,666,796,958","4,476,924,975","175,718,631,194",,,,,,
New purchase,New purchase,New purchase,-,"549,192,593","6,767,761,937","2,250,250,084","110,000,000","9,677,204,614",,,,,,
Disposal,Disposal,Disposal,-,-,"(7,397,196,037)","(744,577,654)",-,"(8,141,773,691)",,,,,,
Reclassification,Reclassification,Reclassification,"(10,092,381,653)",-,-,-,-,"(10,092,381,653)",,,,,,
Disposal of subsidiary,Disposal of subsidiary,Disposal of subsidiary,-,"(33,900,000)",-,-,-,"(33,900,000)",,,,,,
Ending balance,Ending balance,Ending balance,"86,702,751,537","29,479,844,849","33,185,789,715","13,172,469,388","4,586,924,975","167,127,780,464",,,,,,
In which: Fully depreciated,In which: Fully depreciated,In which: Fully depreciated,"10,918,207,331","6,153,157,840","3,243,621,612","10,847,122,958",-,"31,162,109,741",,,,,,
Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,Accumulated depreciation:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"(45,748,461,084)","(16,974,266,032)","(26,139,162,669)","(11,666,796,958)","(3,073,565,309)","(103,602,252,052)",,,,,,
Depreciation for the year,Depreciation for the year,Depreciation for the year,"(1,271,681,467)","(949,176,848)","(5,430,819,999)","(1,000,173,797)","(520,089,893)","(9,171,942,004)",,,,,,
Disposal,Disposal,Disposal,-,-,"4,295,083,125","744,577,654",-,"5,039,660,779",,,,,,
Disposal of subsidiary,Disposal of subsidiary,Disposal of subsidiary,-,"33,900,000",-,-,-,"33,900,000",,,,,,
Ending balance,Ending balance,Ending balance,"(47,020,142,551)","(17,889,542,880)","(27,274,899,543)","(11,922,393,101)","(3,593,655,202)","(107,700,633,277)",,,,,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,,,,
Beginning balance,Beginning balance,Beginning balance,"51,046,672,106","11,990,286,224","7,676,061,146",-,"1,403,359,666","72,116,379,142",,,,,,
Ending balance,Ending balance,Ending balance,"39,682,608,986","11,590,301,969","5,910,890,172","1,250,076,287","993,269,773","59,427,147,187",,,,,,
In which: Pledged as loans security (Note 23.1),In which: Pledged as loans security (Note 23.1),In which: Pledged as loans security (Note 23.1),"6,291,106,004",-,-,-,-,"6,291,106,004",,,,,,
