row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.847.774.710.000,2.643.023.306.759,10.709.490.423,2.216.611.139,3.171.439.100.056,9.675.163.218.377,3847774710000.0,2643023306759.0,10709490423.0,2216611139.0,3171439100056.0,9675163218377.0
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho cánbộ quản lý cấp cao của,Chương trình lựa chọn cho cánbộ quản lý cấp cao của,Chương trình lựa chọn cho cánbộ quản lý cấp cao của,,,,,,,,,,,,
Công ty (i),Chương trình lựa chọn cho cánbộ quản lý cấp cao của > Công ty (i),Công ty (i),2.978.330.000,-,-,-,-,2.978.330.000,2978330000.0,,,,,2978330000.0
Phát hành cổ phiếu (ii),Chương trình lựa chọn cho cánbộ quản lý cấp cao của > Phát hành cổ phiếu (ii),Phát hành cổ phiếu (ii),1.000.220.790.000,1.499.366.485.000,-,-,-,2.499.587.275.000,1000220790000.0,1499366485000.0,,,,2499587275000.0
Lợi nhuận thuần trong năm,Chương trình lựa chọn cho cánbộ quản lý cấp cao của > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,701.371.622.402,701.371.622.402,,,,,701371622402.0,701371622402.0
Thay đổi tỷ lệ sở hữu trong côngty con,Thay đổi tỷ lệ sở hữu trong côngty con,Thay đổi tỷ lệ sở hữu trong côngty con,-,-,-,-,3.407.426.208(192.152.576.696),3.407.426.208(192.152.576.696),,,,,,
Cổ tức bằng tiền công bố (iii),Cổ tức bằng tiền công bố (iii),Cổ tức bằng tiền công bố (iii),-,-,-,-,3.407.426.208(192.152.576.696),3.407.426.208(192.152.576.696),,,,,,
"Trích quỹ khen thưởng, phúc lợi(iv)","Cổ tức bằng tiền công bố (iii) > Trích quỹ khen thưởng, phúc lợi(iv)","Trích quỹ khen thưởng, phúc lợi(iv)",-,-,-,-,(28.130.000.000),(28.130.000.000),,,,,-28130000000.0,-28130000000.0
Số cuối năm,Cổ tức bằng tiền công bố (iii) > Số cuối năm,Số cuối năm,4.850.973.830.000,4.142.389.791.759,10.709.490.423,2.216.611.139,3.655.935.571.970,12.662.225.295.291,4850973830000.0,4142389791759.0,10709490423.0,2216611139.0,3655935571970.0,12662225295291.0
