row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Net revenues,Net revenues,Net revenues,"5,645,086,579,147","7,196,050,482,193",,
In which:,In which:,In which:,In which:,In which:,,
"Sale of villas, town houses, apartments and land use rights","Sale of villas, town houses, apartments and land use rights","Sale of villas, town houses, apartments and land use rights","5,395,398,076,784","6,965,756,729,197",,
Revenue from construction services,Revenue from construction services,Revenue from construction services,"127,083,001,787","27,196,864,179",,
Rendering of services,Rendering of services,Rendering of services,"85,941,264,430","165,556,816,678",,
Rental income from investment properties,Rental income from investment properties,Rental income from investment properties,"36,664,236,146","37,540,072,139",,
TOTAL,TOTAL,TOTAL,"5,645,086,579,147","7,196,050,482,193",,
In which:,In which:,In which:,In which:,In which:,,
Sale to other parties,Sale to other parties,Sale to other parties,"5,604,706,120,994","7,090,241,456,364",,
Sales to related parties (Note 35),Sales to related parties (Note 35),Sales to related parties (Note 35),"40,380,458,153","105,809,025,829",,
