row_label_raw,row_label_full,Arrangement/ guarantor organisations,Owners/ Bondholders' representative,Amount (VND),Interest rate (% p.a),Maturity date,Purpose,Description of collaterals,numeric__Owners/ Bondholders' representative,numeric__Amount (VND),numeric__Interest rate (% p.a),numeric__Maturity date,numeric__Purpose,numeric__Description of collaterals
VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,Sun Life Vietnam Insurance Company Limited,"126,000,000,000",,,,,,,,,,
VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,Generali Vietnam Life Insurance L.L.C,"100,000,000,000",,,,,,,,,,
VNDIRECT Securities Corporation,VNDIRECT Securities Corporation > VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,Post - Telecommunication Joint - Stock Insurance Corporation,"226,000,000,000",,8.98,17 June 2029,Implement the Company's investment plans and projects,,,,898.0,,
VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,KIS Vietnam Securities Corporation,"70,000,000,000",,,,,,,,,,
VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,AIA Vietnam Life Insurance Limited Company.,"16,000,000,000",,,,,,,,,,
VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,VNDIRECT Securities Corporation,FWD Vietnam Life Insurance Company Limitec,"12,000,000,000",,,,,,,,,,
Less:,Less:,Less:,Less:,Less:,Less:,Less:,Less:,Less:,,,,,,
Issuance costs,Issuance costs,Issuance costs,,"(34,339,583,340)",,,,,,,,,,
TOTAL,TOTAL,TOTAL,,"3,625,660,416,660",,,,,,,,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,,,
- Non-current portion,- Non-current portion,- Non-current portion,,"3,625,660,416,660",,,,,,,,,,
- Current portion,- Current portion,- Current portion,,-,,,,,,,,,,
