row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Other income,Other income,Other income,Other income,Other income,,
Gain from contract compensation,Gain from contract compensation,Gain from contract compensation,"45,851,995,166","40,129,450,858",,
Reversal of warranty provision,Reversal of warranty provision,Reversal of warranty provision,"2,945,863,568","21,408,612,432",,
Others,Others,Others,"15,009,286,705","9,647,676,820",,
,,,"63,807,145,439","71,185,740,110",,
Other expenses,Other expenses,Other expenses,Other expenses,Other expenses,,
Penalty,Penalty,Penalty,"12,807,770,537","11,323,817,580",,
Others,Others,Others,"11,661,514,835","3,916,872,295",,
,,,"24,469,285,372","15,240,689,875",,
OTHER PROFIT,OTHER PROFIT,OTHER PROFIT,"39,337,860,067","55,945,050,235",,
