row_label_raw,row_label_full,(i) Inventory properties under development:,(i) Inventory properties under development:_1,(i) Inventory properties under development:_2,numeric__(i) Inventory properties under development:_1,numeric__(i) Inventory properties under development:_2
Waterpoint Phase 1 project (*) (**),Waterpoint Phase 1 project (*) (**),Waterpoint Phase 1 project (*) (**),"3,888,834,758,378","3,832,648,063,945",,
Waterpoint Phase 2 project (*),Waterpoint Phase 2 project (*),Waterpoint Phase 2 project (*),"2,860,311,463,410","2,594,992,396,132",,
Can Tho project (**),Can Tho project (**),Can Tho project (**),"719,781,994,338","1,805,855,757,397",,
Ehome PG Hai Phong project,Ehome PG Hai Phong project,Ehome PG Hai Phong project,"430,282,558,758",-,,
Phu Huu project,Phu Huu project,Phu Huu project,"226,991,618,688","220,706,290,256",,
Phuoc Long B project – Extension,Phuoc Long B project – Extension,Phuoc Long B project – Extension,"132,158,926,807","123,893,014,891",,
Tan Thuan Dong project (Ehome 5 project),Tan Thuan Dong project (Ehome 5 project),Tan Thuan Dong project (Ehome 5 project),"83,436,733,873","72,512,433,817",,
Nguyen Son project,Nguyen Son project,Nguyen Son project,"77,657,333,691","226,621,280,597",,
VSIP Hai Phong,VSIP Hai Phong,VSIP Hai Phong,"52,156,029,955","69,525,064,419",,
Hoang Nam project (Akari) (**),Hoang Nam project (Akari) (**),Hoang Nam project (Akari) (**),"37,724,894,188","303,783,933,103",,
Long An 36ha project (*),Long An 36ha project (*),Long An 36ha project (*),"35,683,783,915","19,123,289,168",,
Binh Duong project (Ehome 4 project),Binh Duong project (Ehome 4 project),Binh Duong project (Ehome 4 project),"12,960,800,537","12,960,800,537",,
Phu Duc project,Phu Duc project,Phu Duc project,"2,584,069,675","2,584,069,675",,
Izumi project,Izumi project,Izumi project,-,"8,684,523,739,008",,
Areco project (Flora Novia),Areco project (Flora Novia),Areco project (Flora Novia),-,"35,877,736,658",,
Others,Others,Others,"35,406,944,960","26,372,130,695",,
