row_label_raw,row_label_full,Details of the long-term loans from banks are as follows:,Details of the long-term loans from banks are as follows:_1,Details of the long-term loans from banks are as follows:_2,Details of the long-term loans from banks are as follows:_3,Details of the long-term loans from banks are as follows:_4,Details of the long-term loans from banks are as follows:_5,numeric__Details of the long-term loans from banks are as follows:_1,numeric__Details of the long-term loans from banks are as follows:_2,numeric__Details of the long-term loans from banks are as follows:_3,numeric__Details of the long-term loans from banks are as follows:_4,numeric__Details of the long-term loans from banks are as follows:_5
Banks,Banks,Banks,Ending balance (VND),Maturity date,Purpose,Interest rate (% p.a),Description of collaterals,,,,,
Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,,,,,
Loan 1,Orient Commercial Joint Stock Bank > Loan 1,Loan 1,"400,000,000,000",25 October 2027,Financing for constructing Can Tho project,8.6,"The ownership of arising assets and the transition of secured assets at the Nam Long 2 Residential Area project in the Nam Can Tho Urban Area, Cai Rang Ward, Can Tho City.",,,,86.0,
Loan 2,Orient Commercial Joint Stock Bank > Loan 2,Loan 2,"245,000,000,000",27 March 2029,Financing for project located at Hai Phong City,9,"LURs at Lot 7692, Map sheet number 5, Ben Luc Ward, Tay Ninh Province (Note 11)",,,,9.0,
Loan 3,Orient Commercial Joint Stock Bank > Loan 3,Loan 3,"234,037,659,194",21 August 2030,Financing for business cooperation contract to develop MR1 project,8.5,"LURs at Lot 7689, Map sheet number 5, Ben Luc Ward, Tay Ninh Province (Note 11)",,,,85.0,
TOTAL,TOTAL,TOTAL,"879,037,659,194",,,,,,,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,,
- Non-current portion,- Non-current portion,- Non-current portion,"879,037,659,194",,,,,,,,,
- Current portion,- Current portion,- Current portion,-,,,,,,,,,
