row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,25.019.644.770,363.118.436.550,388.138.081.320,25019644770.0,363118436550.0,388138081320.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,2.119.880.204,160.149.730.049,162.269.610.253,2119880204.0,160149730049.0,162269610253.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(15.149.398.240),(15.149.398.240),,-15149398240.0,-15149398240.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,27.139.524.974,508.118.768.359,535.258.293.333,27139524974.0,508118768359.0,535258293333.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,45.501.693.673,45.501.693.673,,45501693673.0,45501693673.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(9.983.576.650),(62.245.829.278),(72.229.405.928),-9983576650.0,-62245829278.0,-72229405928.0
Khấu hao trong năm,Giá trị khấu hao và hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(39.453.452),(19.977.003.823),(20.016.457.275),-39453452.0,-19977003823.0,-20016457275.0
Thanh lý,Giá trị khấu hao và hao mòn lũy kế: > Thanh lý,Thanh lý,-,2.219.023.902,2.219.023.902,,2219023902.0,2219023902.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(10.023.030.102),(80.003.809.199),(90.026.839.301),-10023030102.0,-80003809199.0,-90026839301.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,15.036.068.120,300.872.607.272,315.908.675.392,15036068120.0,300872607272.0,315908675392.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,17.116.494.872,428.114.959.160,445.231.454.032,17116494872.0,428114959160.0,445231454032.0
