row_label_raw,row_label_full,col_0,Number of shares,Number of shares_1,numeric__Number of shares,numeric__Number of shares_1
,,,Ending balance,Beginning balance,,
Authorised shares,Authorised shares,Authorised shares,"485,097,383","385,075,304",,
Issued shares,Issued shares,Issued shares,,,,
Issued and paid-up shares,Issued and paid-up shares,Issued and paid-up shares,"485,097,383","384,777,471",,
Ordinary shares,Ordinary shares,Ordinary shares,"485,097,383","384,777,471",,
Shares in circulation,Shares in circulation,Shares in circulation,,,,
Ordinary shares,Ordinary shares,Ordinary shares,"485,097,383","384,777,471",,
