row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,96.795.133.190,28.964.552.256,33.815.223.815,11.666.796.958,4.476.924.975,175.718.631.194,96795133190.0,28964552256.0,33815223815.0,11666796958.0,4476924975.0,175718631194.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,549.192.593,6.767.761.937,2.250.250.084,110.000.000,9.677.204.614,,549192593.0,6767761937.0,2250250084.0,110000000.0,9677204614.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(7.397.196.037),(744.577.654),-,(8.141.773.691),,,-7397196037.0,-744577654.0,,-8141773691.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(10.092.381.653),-,-,-,-,(10.092.381.653),-10092381653.0,,,,,-10092381653.0
Thanh lý công ty con,Nguyên giá: > Thanh lý công ty con,Thanh lý công ty con,-,(33.900.000),-,-,-,(33.900.000),,-33900000.0,,,,-33900000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,86.702.751.537,29.479.844.849,33.185.789.715,13.172.469.388,4.586.924.975,167.127.780.464,86702751537.0,29479844849.0,33185789715.0,13172469388.0,4586924975.0,167127780464.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,10.918.207.331,6.153.157.840,3.243.621.612,10.847.122.958,-,31.162.109.741,10918207331.0,6153157840.0,3243621612.0,10847122958.0,,31162109741.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(45.748.461.084),(16.974.266.032),(26.139.162.669),(11.666.796.958),(3.073.565.309),(103.602.252.052),-45748461084.0,-16974266032.0,-26139162669.0,-11666796958.0,-3073565309.0,-103602252052.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.271.681.467),(949.176.848),(5.430.819.999),(1.000.173.797),(520.089.893),(9.171.942.004),-1271681467.0,-949176848.0,-5430819999.0,-1000173797.0,-520089893.0,-9171942004.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,4.295.083.125,744.577.654,-,5.039.660.779,,,4295083125.0,744577654.0,,5039660779.0
Thanh lý công ty con,Giá trị khấu hao lũy kế: > Thanh lý công ty con,Thanh lý công ty con,-,33.900.000,-,-,-,33.900.000,,33900000.0,,,,33900000.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(47.020.142.551),(17.889.542.880),(27.274.899.543),(11.922.393.101),(3.593.655.202),(107.700.633.277),-47020142551.0,-17889542880.0,-27274899543.0,-11922393101.0,-3593655202.0,-107700633277.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,51.046.672.106,11.990.286.224,7.676.061.146,-,1.403.359.666,72.116.379.142,51046672106.0,11990286224.0,7676061146.0,,1403359666.0,72116379142.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,39.682.608.986,11.590.301.969,5.910.890.172,1.250.076.287,993.269.773,59.427.147.187,39682608986.0,11590301969.0,5910890172.0,1250076287.0,993269773.0,59427147187.0
Trong đó:Thế chấp đề đảm bảo cho các khoản vay (TM số 23.1),Giá trị còn lại: > Trong đó:Thế chấp đề đảm bảo cho các khoản vay (TM số 23.1),Trong đó:Thế chấp đề đảm bảo cho các khoản vay (TM số 23.1),6.291.106.004,-,-,-,-,6.291.106.004,6291106004.0,,,,,6291106004.0
