row_label_raw,row_label_full,Dự án Waterpoint Giai đoạn 1 (*) (**),3.888.834.758.378,3.832.648.063.945,numeric__3.888.834.758.378,numeric__3.832.648.063.945
Dự án Waterpoint Giai đoạn 2 (*),Dự án Waterpoint Giai đoạn 2 (*),Dự án Waterpoint Giai đoạn 2 (*),2.860.311.463.410,2.594.992.396.132,2860311463410.0,2594992396132.0
Dự án Cần Thơ (**),Dự án Cần Thơ (**),Dự án Cần Thơ (**),719.781.994.338,1.805.855.757.397,719781994338.0,1805855757397.0
Dự án Ehome PG Hải Phòng,Dự án Ehome PG Hải Phòng,Dự án Ehome PG Hải Phòng,430.282.558.758,-,430282558758.0,
Dự án Phú Hữu,Dự án Phú Hữu,Dự án Phú Hữu,226.991.618.688,220.706.290.256,226991618688.0,220706290256.0
Dự án Phước Long B - Mở rộng,Dự án Phước Long B - Mở rộng,Dự án Phước Long B - Mở rộng,132.158.926.807,123.893.014.891,132158926807.0,123893014891.0
Dự án Tân Thuận Đông (Dự án Ehome 5),Dự án Tân Thuận Đông (Dự án Ehome 5),Dự án Tân Thuận Đông (Dự án Ehome 5),83.436.733.873,72.512.433.817,83436733873.0,72512433817.0
Dự án Nguyên Sơn,Dự án Nguyên Sơn,Dự án Nguyên Sơn,77.657.333.691,226.621.280.597,77657333691.0,226621280597.0
Dự án VSIP Hải Phòng,Dự án VSIP Hải Phòng,Dự án VSIP Hải Phòng,52.156.029.955,69.525.064.419,52156029955.0,69525064419.0
Dự án Hoàng Nam (Âkari) (**),Dự án Hoàng Nam (Âkari) (**),Dự án Hoàng Nam (Âkari) (**),37.724.894.188,303.783.933.103,37724894188.0,303783933103.0
Dự án Long An 36ha (*),Dự án Long An 36ha (*),Dự án Long An 36ha (*),35.683.783.915,19.123.289.168,35683783915.0,19123289168.0
Dự án Bình Dương (Dự án Ehome 4),Dự án Bình Dương (Dự án Ehome 4),Dự án Bình Dương (Dự án Ehome 4),12.960.800.537,12.960.800.537,12960800537.0,12960800537.0
Dự án Phú Đức,Dự án Phú Đức,Dự án Phú Đức,2.584.069.675,2.584.069.675,2584069675.0,2584069675.0
Dự án Izumi,Dự án Izumi,Dự án Izumi,-,8.684.523.739.008,,8684523739008.0
Dự án Areco (Flora Novia),Dự án Areco (Flora Novia),Dự án Areco (Flora Novia),-,35.877.736.658,,35877736658.0
Khác,Khác,Khác,35.406.944.960,26.372.130.695,35406944960.0,26372130695.0
