row_label_raw,row_label_full,col_0,Current year,Previous year (restated),numeric__Current year,numeric__Previous year (restated)
Net profit after tax (VND),Net profit after tax (VND),Net profit after tax (VND),"701,371,622,402","517,894,708,641",,
Less: Bonus and welfare fund (VND) (i),Less: Bonus and welfare fund (VND) (i),Less: Bonus and welfare fund (VND) (i),"(40,068,581,120)","(28,130,000,000)",,
Net profit attributable to ordinary shareholders (VND),Net profit attributable to ordinary shareholders (VND),Net profit attributable to ordinary shareholders (VND),"661,303,041,282","489,764,708,641",,
Weighted average number of ordinary shares during the year (shares),Weighted average number of ordinary shares during the year (shares),Weighted average number of ordinary shares during the year (shares),"485,097,383","384,777,471",,
Weighted average number of ordinary shares adjusted for the effect of dilution,Weighted average number of ordinary shares adjusted for the effect of dilution,Weighted average number of ordinary shares adjusted for the effect of dilution,"485,097,383","384,777,471",,
Earnings per share (VND),Earnings per share (VND),Earnings per share (VND),,,,
Basic earnings per share,Earnings per share (VND) > Basic earnings per share,Basic earnings per share,"1,363","1,273",1.363,1.273
Diluted earnings per share,Earnings per share (VND) > Diluted earnings per share,Diluted earnings per share,"1,363","1,273",1.363,1.273
