row_label_raw,row_label_full,Ngân hàng,Số cuối năm(VND),Ngày đáo hạn,Mục đích vay,Lãi suất(%/năm),Hình thức đảm bảo,numeric__Số cuối năm(VND),numeric__Ngày đáo hạn,numeric__Mục đích vay,numeric__Lãi suất(%/năm),numeric__Hình thức đảm bảo
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,,,,,
Vay 1,Ngân hàng TMCP Phương Đông > Vay 1,Vay 1,400.000.000.000,Ngày 25 tháng 10 năm 2027,Tài trợ đầu tư phát triển dự án Cần Thơ,"8,6","Quyền sở hữu tài sản phát sinh và tài sản bảo đảm chuyển tiếp tại dự án Khu dân cư Nam Long 2 tại Khu đô thị Nam Cần Thơ, Phường Cái Răng, TP. Cần Thơ",400000000000.0,,,8.6,
Vay 2,Ngân hàng TMCP Phương Đông > Vay 2,Vay 2,245.000.000.000,Ngày 27 tháng 3 năm 2029,Tài trợ đầu tư phát triển dự án tài Thành phố Hải Phòng,9,"Quyền sử dụng đất tại thừa 7692, Tờ bản đồ số 5, Xã Bến Lức, Tĩnh Tây Ninh (TM số 11)",245000000000.0,,,9.0,
Vay 3,Ngân hàng TMCP Phương Đông > Vay 3,Vay 3,234.037.659.194,Ngày 21 tháng 8 năm 2030,Tài trợ đầu tư phát triển dự án Khu đô thị mới Vàm Cỏ Đông Southgate (không bao gồm dự án MR1),"8,5","Quyền sử dụng đất tại thừa 7689, Tờ bản đồ số 5, Xã Bến Lức, Tĩnh Tây Ninh (TM số 11)",234037659194.0,,,8.5,
TỔNG CỘNG,Ngân hàng TMCP Phương Đông > TỔNG CỘNG,TỔNG CỘNG,879.037.659.194,,,,,879037659194.0,,,,
Trong đó:- Vay dài hạn- Vay dài hạn đến hạn trả,Ngân hàng TMCP Phương Đông > Trong đó:- Vay dài hạn- Vay dài hạn đến hạn trả,Trong đó:- Vay dài hạn- Vay dài hạn đến hạn trả,879.037.659.194,,,,,879037659194.0,,,,
