row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
PG Investment & Construction,PG Investment & Construction,PG Investment & Construction,PG Investment & Construction,PG Investment & Construction,,
Joint Stock Company,Joint Stock Company,Joint Stock Company,"22,360,617,699",-,,
J.G Company Limited,J.G Company Limited,J.G Company Limited,"7,574,128,263","28,834,271,697",,
Ricons Construction Investment Joint,Ricons Construction Investment Joint,Ricons Construction Investment Joint,Ricons Construction Investment Joint,Ricons Construction Investment Joint,,
Stock Company,Stock Company,Stock Company,"1,415,329,955","270,161,105,096",,
Payables to other suppliers,Payables to other suppliers,Payables to other suppliers,"432,079,796,241","728,338,629,309",,
TOTAL,TOTAL,TOTAL,"463,429,872,158","1,027,334,006,102",,
In which:,In which:,In which:,In which:,In which:,,
Due from other parties,Due from other parties,Due from other parties,"415,814,927,292","1,004,842,005,053",,
Due from a related party (Note 35),Due from a related party (Note 35),Due from a related party (Note 35),"47,614,944,866","22,492,001,049",,
