row_label_raw,row_label_full,col_0,Beginning balance,Decrease,VNDEnding balance,numeric__Beginning balance,numeric__Decrease,numeric__VNDEnding balance
Individual 1,Individual 1,Individual 1,"29,810,000,000","(13,010,000,000)","16,800,000,000",,,
Individual 2,Individual 2,Individual 2,"30,000,000,000","(3,500,000,000)","26,500,000,000",,,
Individual 3,Individual 3,Individual 3,"20,270,964,170","(2,600,000,000)","17,670,964,170",,,
Individual 4,Individual 4,Individual 4,"14,500,000,000",-,"14,500,000,000",,,
TOTAL,TOTAL,TOTAL,"94,580,964,170","(19,110,000,000)","75,470,964,170",,,
