row_label_raw,row_label_full,col_0,Beginning balance,Increase,Decrease,VNDEnding balance,numeric__Beginning balance,numeric__Increase,numeric__Decrease,numeric__VNDEnding balance
Receivable,Receivable,Receivable,Receivable,Receivable,Receivable,Receivable,,,,
Value-added tax,Value-added tax,Value-added tax,"361,187,144,987","327,454,705,548","(468,635,221,852)","220,006,628,683",,,,
Other taxes,Other taxes,Other taxes,"1,067,997,653","10,406,725,443","(312,639,569)","11,162,083,527",,,,
TOTAL,TOTAL,TOTAL,"362,255,142,640","337,861,430,991","(468,947,861,421)","231,168,712,210",,,,
Payable,Payable,Payable,Payable,Payable,Payable,Payable,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"332,016,204,720","352,125,813,780","(516,103,872,502)","168,038,145,998",,,,
Personal income tax,Personal income tax,Personal income tax,"37,107,752,881","134,817,910,218","(129,637,745,822)","42,287,917,277",,,,
Value-added tax,Value-added tax,Value-added tax,"20,519,863,447","254,909,602,706","(257,483,557,534)","17,945,908,619",,,,
Other taxes,Other taxes,Other taxes,"77,164,654","7,709,073,462","(7,783,067,005)","3,171,111",,,,
TOTAL,TOTAL,TOTAL,"389,720,985,702","749,562,400,166","(911,008,242,863)","228,275,143,005",,,,
