row_label_raw,row_label_full,col_0,Current year,Previous year,numeric__Current year,numeric__Previous year
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"1,188,220,808,979","1,824,791,701,766",,
At applicable CIT rate,At applicable CIT rate,At applicable CIT rate,"237,644,161,796","364,958,340,353",,
Adjustments to increase (decrease):,Adjustments to increase (decrease):,Adjustments to increase (decrease):,,,,
Adjustment for gain on disposal of subsidiary,Adjustment for gain on disposal of subsidiary,Adjustment for gain on disposal of subsidiary,"49,448,536,713",-,,
Adjustment for under accrual of CIT from previous years,Adjustment for under accrual of CIT from previous years,Adjustment for under accrual of CIT from previous years,"284,192,390","15,751,299,668",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"37,105,538,306","13,152,173,102",,
Share of profit from associates,Share of profit from associates,Share of profit from associates,"(15,209,196,996)","(19,943,476,742)",,
Tax loss carried forward,Tax loss carried forward,Tax loss carried forward,"(60,229,319,499)","(1,770,882,230)",,
Reversal tax loss which recognized defer tax asset,Reversal tax loss which recognized defer tax asset,Reversal tax loss which recognized defer tax asset,-,"60,469,490,973",,
Others,Others,Others,"(7,132,038,921)","4,786,231,889",,
CIT expense,CIT expense,CIT expense,"241,911,873,789","437,403,177,013",,
