row_label_raw,row_label_full,col_0,Anabuki,NNH Mizuki,Paragon,DNWF,VND Tổng cộng,numeric__Anabuki,numeric__NNH Mizuki,numeric__Paragon,numeric__DNWF,numeric__VND Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,4.588.500.000,540.000.000.000,984.519.130.211,-,1.529.107.630.211,4588500000.0,540000000000.0,984519130211.0,,1529107630211.0
Tăng trong năm (TM số 4),Giá trị đầu tư: > Tăng trong năm (TM số 4),Tăng trong năm (TM số 4),-,-,73.660.000.000,-,73.660.000.000,,,73660000000.0,,73660000000.0
Tăng do thanh lý công ty con (TM số 4.4),Giá trị đầu tư: > Tăng do thanh lý công ty con (TM số 4.4),Tăng do thanh lý công ty con (TM số 4.4),-,-,-,2.892.788.954.518,2.892.788.954.518,,,,2892788954518.0,2892788954518.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,4.588.500.000,540.000.000.000,1.058.179.130.211,2.892.788.954.518,4.495.556.584.729,4588500000.0,540000000000.0,1058179130211.0,2892788954518.0,4495556584729.0
Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,Phần lũy kế lợi nhuận sau khi mua:,,,,,
Số đầu năm,Phần lũy kế lợi nhuận sau khi mua: > Số đầu năm,Số đầu năm,11.833.725.215,251.967.095.787,(930.168.229),-,262.870.652.773,11833725215.0,251967095787.0,-930168229.0,,262870652773.0
"Phần lãi (lỗ) từ công ty liên doanh, liên kết","Phần lũy kế lợi nhuận sau khi mua: > Phần lãi (lỗ) từ công ty liên doanh, liên kết","Phần lãi (lỗ) từ công ty liên doanh, liên kết",2.808.341.531,60.800.617.812,(320.994.410),12.758.020.045,76.045.984.978,2808341531.0,60800617812.0,-320994410.0,12758020045.0,76045984978.0
Tăng do thanh lý công ty con (TM số 4.4),Phần lũy kế lợi nhuận sau khi mua: > Tăng do thanh lý công ty con (TM số 4.4),Tăng do thanh lý công ty con (TM số 4.4),-,-,-,276.478.656.032,276.478.656.032,,,,276478656032.0,276478656032.0
Cổ tức cổ phiếu ưu đãi,Phần lũy kế lợi nhuận sau khi mua: > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,(75.000.000.000),-,-,(75.000.000.000),,-75000000000.0,,,-75000000000.0
Số cuối năm,Phần lũy kế lợi nhuận sau khi mua: > Số cuối năm,Số cuối năm,14.642.066.746,237.767.713.599,(1.251.162.639),289.236.676.077,540.395.293.783,14642066746.0,237767713599.0,-1251162639.0,289236676077.0,540395293783.0
Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,,,,,
Số đầu năm,Giá trị ghi sổ: > Số đầu năm,Số đầu năm,16.422.225.215,791.967.095.787,983.588.961.982,-,1.791.978.282.984,16422225215.0,791967095787.0,983588961982.0,,1791978282984.0
Số cuối năm,Giá trị ghi sổ: > Số cuối năm,Số cuối năm,19.230.566.746,777.767.713.599,1.056.927.967.572,3.182.025.630.595,5.035.951.878.512,19230566746.0,777767713599.0,1056927967572.0,3182025630595.0,5035951878512.0
