row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,,Tỷ lệ lợi ích và biểu quyết %,Tỷ lệ lợi ích và biểu quyết %,Tỷ lệ lợi ích và biểu quyết %,,,,,
DNWF (i),Tên công ty > DNWF (i),DNWF (i),Bắt động sản,"50,00",,-,,,50.0,,,
Công ty TNHH Paragon Đại Phước (ii),Tên công ty > Công ty TNHH Paragon Đại Phước (ii),Công ty TNHH Paragon Đại Phước (ii),Bắt động sản,"50,53",,"50,00",,,50.53,,50.0,
Công ty Cổ phần NNH Mizuki (iii),Tên công ty > Công ty Cổ phần NNH Mizuki (iii),Công ty Cổ phần NNH Mizuki (iii),Bắt động sản,"50,00",,"50,00",,,50.0,,50.0,
"Công ty TNHH Anabuki NL Housing Service Việt Nam (""Anabuki"") (iv)","Tên công ty > Công ty TNHH Anabuki NL Housing Service Việt Nam (""Anabuki"") (iv)","Công ty TNHH Anabuki NL Housing Service Việt Nam (""Anabuki"") (iv)",Bắt động sản,"30,59",,"30,59",,,30.59,,30.59,
