row_label_raw,row_label_full,Banks,Ending balance (VND),Maturity date,Interest rate (% p.a),Description of collaterals,numeric__Ending balance (VND),numeric__Maturity date,numeric__Interest rate (% p.a),numeric__Description of collaterals
Asia Commercial Joint Stock Bank,Asia Commercial Joint Stock Bank,Asia Commercial Joint Stock Bank,"400,000,000,000",30 September 2026,7.9,Rights to collect accounts receivable of Southgate,,,79.0,
Vietnam International Commercial Joint Stock Bank,Vietnam International Commercial Joint Stock Bank,Vietnam International Commercial Joint Stock Bank,"199,382,736,837",21 June 2026,7 - 7.25,Unsecured,,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade – Sam Son Branch,Vietnam International Commercial Joint Stock Bank > Vietnam Joint Stock Commercial Bank for Industry and Trade – Sam Son Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade – Sam Son Branch,"131,330,666,890",20 June 2026,7,Unsecured,,,7.0,
Joint Stock Commercial Bank for Foreign Trade of Vietnam – HCM City Branch,Vietnam International Commercial Joint Stock Bank > Joint Stock Commercial Bank for Foreign Trade of Vietnam – HCM City Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam – HCM City Branch,"93,960,386,380",27 March 2026,6.5,Unsecured,,,65.0,
Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank,"89,210,923,810",From 21 February 2026 to 31 October 2026,7.8 - 9.1,"LURs and related assets located at No. 147 - 149, Tran Trong Cung Street, Tan Thuan Dong Ward, HCMC (Notes 13 and 14)",,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade – HCM City Branch,Orient Commercial Joint Stock Bank > Vietnam Joint Stock Commercial Bank for Industry and Trade – HCM City Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade – HCM City Branch,"51,888,000,727",From 4 August 2026 to 25 August 2026,7,Unsecured,,,7.0,
Military Commercial Joint Stock Bank,Orient Commercial Joint Stock Bank > Military Commercial Joint Stock Bank,Military Commercial Joint Stock Bank,"17,758,609,493",20 July 2026,7.2,Unsecured,,,72.0,
Standard Chartered Bank (Vietnam) Limited,Orient Commercial Joint Stock Bank > Standard Chartered Bank (Vietnam) Limited,Standard Chartered Bank (Vietnam) Limited,"17,485,379,377",23 May 2026,6.9,"Lot 6262, Map Sheet No. 6 and Lot 7162, Map Sheet No. 6, Ben Luc Ward, Tay Ninh Province (Note 11)",,,69.0,
United Oversea Bank One Member Limited Liability Bank,United Oversea Bank One Member Limited Liability Bank,United Oversea Bank One Member Limited Liability Bank,"15,887,022,001",From 16 March 2026 to 11 May 2026,5.8 - 6.2,Unsecured,,,,
TOTAL,TOTAL,TOTAL,"1,016,903,725,515",,,,,,,
