row_label_raw,row_label_full,Arrangement/guarantor organisations,Owners/ Bondholders' representative,Amount (VND),Interest rate (% p.a),Maturity date,Purpose,Description of collaterals,numeric__Owners/ Bondholders' representative,numeric__Amount (VND),numeric__Interest rate (% p.a),numeric__Maturity date,numeric__Purpose,numeric__Description of collaterals
Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,"1,000,000,000,000",10.13,28 November 2027,Implement the Company's investment plans and projects,"78,613,263 Nam Long VCD's shares owned by the Company",,,1013.0,,,
Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,"800,000,000,000",9.78,22 August 2027,Implement the Company's investment plans and projects,"65,517,241 Southgate Joint Stock Company's shares owned by the Company",,,978.0,,,
Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Bond Investment Fund,"150,000,000,000",9.86,22 August 2027,Implement the Company's investment plans and projects,"65,517,241 Southgate Joint Stock Company's shares owned by the Company",,,986.0,,,
Vietcap Securities Joint Stock Company,Vietcap Securities Joint Stock Company,Vietcap Securities Joint Stock Company,Vietcap Securities Joint Stock Company,"660,000,000,000",11,5 June 2028,Settlement of the bond,"38,552,000 Nam Long VCD's shares owned by the Company",,,11.0,,,
Vietnam International Securities Joint Stock Company (VIS),Vietnam International Securities Joint Stock Company (VIS),Vietnam International Securities Joint Stock Company (VIS),Orient Commercial Joint Stock Bank,"500,000,000,000",8.2,28 September 2028,Implement the Company's investment plans and projects,"LURs Lot 7692, Map Sheet No.5, Ben Luc Ward, Tay Ninh Province",,,82.0,,,
