row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Ending balance,Beginning balance,,
Short-term,Short-term,Short-term,Short-term,Short-term,,
Commission fees,Commission fees,Commission fees,"268,138,425,203","317,536,558,237",,
Tools and supplies,Tools and supplies,Tools and supplies,"8,967,985,418","10,069,158,333",,
Others,Others,Others,"2,580,190,039","2,227,723,186",,
,,,"279,686,600,660","329,833,439,756",,
Long-term,Long-term,Long-term,Long-term,Long-term,,
Commission fees,Commission fees,Commission fees,"25,803,446,887","85,337,740,009",,
Tools and supplies,Tools and supplies,Tools and supplies,"18,593,775,274","13,013,336,242",,
Others,Others,Others,"4,914,211,346","572,459,999",,
,,,"49,311,433,507","98,923,536,250",,
TOTAL,TOTAL,TOTAL,"328,998,034,167","428,756,976,006",,
