row_label_raw,row_label_full,Họ và tên,Chức vụ,col_2,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__col_2,numeric__Thu nhập,numeric__Thu nhập_1
Họ và tên,Họ và tên,Họ và tên,Chức vụ,,Năm nay,Năm trước,,,,
Ông Lucas Ignatius LohJen Yuh,Họ và tên > Ông Lucas Ignatius LohJen Yuh,Ông Lucas Ignatius LohJen Yuh,Tổng Giám đốc Tập đoàn,,19.437.833.939,11.897.793.821,,,19437833939.0,11897793821.0
Bà Nguyễn ThanhHương,Họ và tên > Bà Nguyễn ThanhHương,Bà Nguyễn ThanhHương,Giám đốc Đầu tư Tập đoàn,,5.534.503.896,4.380.009.091,,,5534503896.0,4380009091.0
Ông Chan Hong WaiBà Nguyễn Thị Phượng,Họ và tên > Ông Chan Hong WaiBà Nguyễn Thị Phượng,Ông Chan Hong WaiBà Nguyễn Thị Phượng,Giám đốc Tài chính,,4.948.400.000,1.318.084.987,,,4948400000.0,1318084987.0
Ông Chan Hong WaiBà Nguyễn Thị Phượng,Họ và tên > Ông Chan Hong WaiBà Nguyễn Thị Phượng,Ông Chan Hong WaiBà Nguyễn Thị Phượng,Giám đốc Nhân sự Tập đoàn,,4.189.234.000,4.064.418.591,,,4189234000.0,4064418591.0
Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Họ và tên > Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Giám đốc điều hành Nam Long LandKế toán Trường Tập đoàn,Bổ nhiệm ngày 7 tháng 7 năm 2025,3.184.363.636,-,,,3184363636.0,
Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Họ và tên > Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Giám đốc điều hành Nam Long LandKế toán Trường Tập đoàn,Bổ nhiệm ngày 7 tháng 7 năm 2025,2.122.357.900,2.283.036.700,,,2122357900.0,2283036700.0
Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Họ và tên > Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Ông Ng Joo TongÔng Nguyễn Quang ĐứcÔng Trần Anh Dũng,Giám đốc Điều hành Đơn vị Kinh doanhBất động sản Thương mại & Đầu tưMạo hiểm,Bổ nhiệm ngày 8 tháng 1 năm 2025và miễn nhiệm ngày 2 tháng 5năm 2025,1.175.009.882,-,,,1175009882.0,
Ông Nguyễn HoàngVĩnh ViễnÔng Trần Xuân Ngọc,Họ và tên > Ông Nguyễn HoàngVĩnh ViễnÔng Trần Xuân Ngọc,Ông Nguyễn HoàngVĩnh ViễnÔng Trần Xuân Ngọc,Giám đốc Điều hành Đơn vị Kinh doanhBất động sản Thương mại & Đầu tư Mạo hiểm,Bổ nhiệm ngày 1 tháng 9 năm 2025,942.057.143,-,,,942057143.0,
Ông Nguyễn HoàngVĩnh ViễnÔng Trần Xuân Ngọc,Họ và tên > Ông Nguyễn HoàngVĩnh ViễnÔng Trần Xuân Ngọc,Ông Nguyễn HoàngVĩnh ViễnÔng Trần Xuân Ngọc,Tổng Giám đốc Tập đoàn,Miễn nhiệm ngày 30 tháng 3năm 2024,-,4.784.346.314,,,,4784346314.0
Ông Nguyễn Huy ĐứcÔng Phạm Đình Huy,Họ và tên > Ông Nguyễn Huy ĐứcÔng Phạm Đình Huy,Ông Nguyễn Huy ĐứcÔng Phạm Đình Huy,Giám đốc Tài chính,Miễn nhiệm ngày 16 tháng 9năm 2024,-,5.559.628.178,,,,5559628178.0
Ông Nguyễn Huy ĐứcÔng Phạm Đình Huy,Họ và tên > Ông Nguyễn Huy ĐứcÔng Phạm Đình Huy,Ông Nguyễn Huy ĐứcÔng Phạm Đình Huy,Giám đốc Đầu tư Tập đoàn,Miễn nhiệm ngày 2 tháng 5năm 2024,-,2.084.069.292,,,,2084069292.0
Ông Văn Việt Sơn,Họ và tên > Ông Văn Việt Sơn,Ông Văn Việt Sơn,Giám đốc điều hành Nam Long Land,Miễn nhiệm ngày 20 tháng 9năm 2024,-,6.313.935.793,,,,6313935793.0
TỔNG CỘNG,Họ và tên > TỔNG CỘNG,TỔNG CỘNG,,,41.533.760.396,42.685.322.767,,,41533760396.0,42685322767.0
