row_label_raw,row_label_full,Full name,Position,Remuneration > Current year,Remuneration > Previous year,numeric__Position,numeric__Remuneration > Current year,numeric__Remuneration > Previous year
Mr Nguyen Xuan Quang,Mr Nguyen Xuan Quang,Mr Nguyen Xuan Quang,"Chairman(Executive Director, dual Head of Investment Committee and Member of HR Committee)","4,671,348,190","4,678,103,815",,,
Mr Tran Thanh Phong,Mr Tran Thanh Phong,Mr Tran Thanh Phong,"Vice chairman(Executive Director, cum Head of Shareholders Relation Committee, Member of Investment Committee and Member of Audit Committee)","3,894,678,069","3,898,055,883",,,
Mr Cao Tan Thach,Mr Cao Tan Thach,Mr Cao Tan Thach,"Member(Executive Director, cum Member of Audit Committee)","2,474,661,068","2,474,661,068",,,
Mr Ngian Siew Siong,Mr Ngian Siew Siong,Mr Ngian Siew Siong,Independent member(cum Head of HR Committee and Member of Investment Committee),"1,528,256,354","1,535,011,980",,,
Mr Kenneth Michael Atkinson,Mr Kenneth Michael Atkinson,Mr Kenneth Michael Atkinson,Independent member(cum Head of Audit Committee),"1,401,364,750","1,374,342,251",,,
Mr Chad Ryan Ovel,Mr Chad Ryan Ovel,Mr Chad Ryan Ovel,Independent member(cum Member of HR Committee),"1,148,872,668","1,152,250,480",,,
Mr Ziang Tony Ngo,Mr Ziang Tony Ngo,Mr Ziang Tony Ngo,Independent member(cum Member of Investment Committee),"1,148,872,668","1,152,250,480",,,
Mr Joseph Low Kar Yew,Mr Joseph Low Kar Yew,Mr Joseph Low Kar Yew,Member(cum Member of Audit Committee),"781,258,896","781,258,897",,,
Mr Nguyen Duc Thuan,Mr Nguyen Duc Thuan,Mr Nguyen Duc Thuan,Member,"587,326,668","587,326,668",,,
TOTAL,TOTAL,TOTAL,,"17,636,639,331","17,633,261,522",,,
