row_label_raw,row_label_full,Họ và tên,Chức vụ,VND,VND_1,numeric__Chức vụ,numeric__VND,numeric__VND_1
Họ và tên,Họ và tên,Họ và tên,Chức vụ,Thu nhập,Thu nhập,,,
Họ và tên,Họ và tên,Họ và tên,Chức vụ,Năm nay,Năm trước,,,
Ông Nguyễn Xuân Quang,Họ và tên > Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,"Chữ tịch HĐQT(Thành viên Thường trực HĐQT, kiểm Trường Tiểu ban Đầu tư và Thành viên Tiểu ban Nhân sự)",4.671.348.190,4.678.103.815,,4671348190.0,4678103815.0
Ông Trần Thanh Phong,Họ và tên > Ông Trần Thanh Phong,Ông Trần Thanh Phong,"Phó chủ tịch HĐQT(Thành viên Thường trực HĐQT, kiểm Trường Tiểu ban Quan hệ Cổ đông, Thành viên Tiểu ban Đầu tư và Thành viên Tiểu ban Kiểm toán)",3.894.678.069,3.898.055.883,,3894678069.0,3898055883.0
Ông Cao Tấn Thạch,Họ và tên > Ông Cao Tấn Thạch,Ông Cao Tấn Thạch,Thành viên (kiêm Thành viên Tiểu ban Kiểm toán),2.474.661.068,2.474.661.068,,2474661068.0,2474661068.0
Ông Ngian Siew Siong,Họ và tên > Ông Ngian Siew Siong,Ông Ngian Siew Siong,Thành viên độc lập(kiêm Trường Tiểu ban Nhân sự và Thành viên Tiểu ban Đầu tư),1.528.256.354,1.535.011.980,,1528256354.0,1535011980.0
Ông Kenneth Michael Atkinson,Họ và tên > Ông Kenneth Michael Atkinson,Ông Kenneth Michael Atkinson,Thành viên độc lập(kiêm Trường Tiểu ban Kiểm toán),1.401.364.750,1.374.342.251,,1401364750.0,1374342251.0
Ông Chad Ryan Ovel,Họ và tên > Ông Chad Ryan Ovel,Ông Chad Ryan Ovel,Thành viên độc lập(kiêm Thành viên Tiểu ban Nhân sự),1.148.872.668,1.152.250.480,,1148872668.0,1152250480.0
Ông Ziang Tony Ngo,Họ và tên > Ông Ziang Tony Ngo,Ông Ziang Tony Ngo,Thành viên độc lập(kiêm Thành viên Tiểu ban Đầu tư),1.148.872.668,1.152.250.480,,1148872668.0,1152250480.0
Ông Joseph Low Kar Yew,Họ và tên > Ông Joseph Low Kar Yew,Ông Joseph Low Kar Yew,Thành viên(kiêm Thành viên Tiểu ban Kiểm toán),781.258.896,781.258.897,,781258896.0,781258897.0
Ông Nguyễn Đức Thuấn,Họ và tên > Ông Nguyễn Đức Thuấn,Ông Nguyễn Đức Thuấn,Thành viên,587.326.668,587.326.668,,587326668.0,587326668.0
TỔNG CỘNG,Họ và tên > TỔNG CỘNG,TỔNG CỘNG,,17.636.639.331,17.633.261.522,,17636639331.0,17633261522.0
