row_label_raw,row_label_full,DNWF,Đặt cọc,50.000.000.000,-,numeric__Đặt cọc,numeric__50.000.000.000,numeric__-
Tân Hiệp,Tân Hiệp,Tân Hiệp,Đặt cọc,567.000.000,567.000.000,,567000000.0,567000000.0
Anabuki NL,Anabuki NL,Anabuki NL,Đặt cọc,410.000.000,110.000.000,,410000000.0,110000000.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Đặt cọc,301.263.804,-,,301263804.0,
,,,,51.278.263.804,677.000.000,,51278263804.0,677000000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Công ty TNHH,Công ty TNHH,Công ty TNHH,Phí dịch vụ,,,,,
Anabuki NL Housing,Công ty TNHH > Anabuki NL Housing,Anabuki NL Housing,tư vấn quản lý,47.614.944.866,22.492.001.049,,47614944866.0,22492001049.0
Service Việt Nam,Service Việt Nam,Service Việt Nam,Service Việt Nam,Service Việt Nam,Service Việt Nam,,,
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Dịch vụ tư vấn,,,,,
NNH Mizuki,NNH Mizuki > NNH Mizuki,NNH Mizuki,xây dựng,90.727.273,147.818.673,,90727273.0,147818673.0
Tân Hiệp,NNH Mizuki > Tân Hiệp,Tân Hiệp,Mua đất nền,-,2.118.000.000,,,2118000000.0
,,,,90.727.273,2.265.818.673,,90727273.0,2265818673.0
