row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.645.086.579.147,7.196.050.482.193,5645086579147.0,7196050482193.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Doanh thu bán biệt thụ, nhà phố, căn hộ và quyền sử dụng đất","Trong đó: > Doanh thu bán biệt thụ, nhà phố, căn hộ và quyền sử dụng đất","Doanh thu bán biệt thụ, nhà phố, căn hộ và quyền sử dụng đất",5.395.398.076.784,6.965.756.729.197,5395398076784.0,6965756729197.0
Doanh thu từ dịch vụ xây dựng,Trong đó: > Doanh thu từ dịch vụ xây dựng,Doanh thu từ dịch vụ xây dựng,127.083.001.787,27.196.864.179,127083001787.0,27196864179.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,85.941.264.430,165.556.816.678,85941264430.0,165556816678.0
Doanh thu cho thuê bất động sản đầu tư,Trong đó: > Doanh thu cho thuê bất động sản đầu tư,Doanh thu cho thuê bất động sản đầu tư,36.664.236.146,37.540.072.139,36664236146.0,37540072139.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,5.645.086.579.147,7.196.050.482.193,5645086579147.0,7196050482193.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với khách hàng khác,Trong đó: > Doanh thu với khách hàng khác,Doanh thu với khách hàng khác,5.604.706.120.994,7.090.241.456.364,5604706120994.0,7090241456364.0
Doanh thu với bên liên quan (TM số 35),Trong đó: > Doanh thu với bên liên quan (TM số 35),Doanh thu với bên liên quan (TM số 35),40.380.458.153,105.809.025.829,40380458153.0,105809025829.0
