row_label_raw,row_label_full,col_0,Loans,Bonds,VND Total,numeric__Loans,numeric__Bonds,numeric__VND Total
Beginning balance,Beginning balance,Beginning balance,"3,349,089,009,588","3,612,091,050,037","6,961,180,059,625",,,
Drawdown of loans and bonds,Drawdown of loans and bonds,Drawdown of loans and bonds,"3,076,785,787,781","660,000,000,000","3,736,785,787,781",,,
Repayment of loans and bonds,Repayment of loans and bonds,Repayment of loans and bonds,"(3,142,028,487,699)","(660,000,000,000)","(3,802,028,487,699)",,,
Disposal subsidiary,Disposal subsidiary,Disposal subsidiary,"(1,387,904,924,961)",-,"(1,387,904,924,961)",,,
Cost of issuing bonds,Cost of issuing bonds,Cost of issuing bonds,-,"(11,790,000,000)","(11,790,000,000)",,,
Allocated cost of issuing bonds,Allocated cost of issuing bonds,Allocated cost of issuing bonds,-,"25,359,366,623","25,359,366,623",,,
Ending balance,Ending balance,Ending balance,"1,895,941,384,709","3,625,660,416,660","5,521,601,801,369",,,
