row_label_raw,row_label_full,col_0,Số đầu năm,Thu hồi trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Thu hồi trong năm,numeric__VND Số cuối năm
Cá nhân 1,Cá nhân 1,Cá nhân 1,29.810.000.000,(13.010.000.000),16.800.000.000,29810000000.0,-13010000000.0,16800000000.0
Cá nhân 2,Cá nhân 2,Cá nhân 2,30.000.000.000,(3.500.000.000),26.500.000.000,30000000000.0,-3500000000.0,26500000000.0
Cá nhân 3,Cá nhân 3,Cá nhân 3,20.270.964.170,(2.600.000.000),17.670.964.170,20270964170.0,-2600000000.0,17670964170.0
Cá nhân 4,Cá nhân 4,Cá nhân 4,14.500.000.000,-,14.500.000.000,14500000000.0,,14500000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,94.580.964.170,(19.110.000.000),75.470.964.170,94580964170.0,-19110000000.0,75470964170.0
