row_label_raw,row_label_full,col_0,Share capital,Share premium,Investment and development fund,Other funds belonging to owners' equity,Undistributed earnings,VND Total,numeric__Share capital,numeric__Share premium,numeric__Investment and development fund,numeric__Other funds belonging to owners' equity,numeric__Undistributed earnings,numeric__VND Total
Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,,,,,,
Beginning balance,Beginning balance,Beginning balance,"3,847,774,710,000","2,643,023,306,759","10,709,490,423","2,216,611,139","3,171,439,100,056","9,675,163,218,377",,,,,,
Issuance share in accordance to the Executive Stock Grant program (i),Issuance share in accordance to the Executive Stock Grant program (i),Issuance share in accordance to the Executive Stock Grant program (i),"2,978,330,000",-,-,-,-,"2,978,330,000",,,,,,
Issuance of shares (ii),Issuance of shares (ii),Issuance of shares (ii),"1,000,220,790,000","1,499,366,485,000",-,-,-,"2,499,587,275,000",,,,,,
Net profit after tax,Net profit after tax,Net profit after tax,-,-,-,-,"701,371,622,402","701,371,622,402",,,,,,
Change in ownership interest in subsidiaries,Change in ownership interest in subsidiaries,Change in ownership interest in subsidiaries,-,-,-,-,"3,407,426,208","3,407,426,208",,,,,,
Cash dividends declared (iii),Cash dividends declared (iii),Cash dividends declared (iii),-,-,-,-,"(192,152,576,696)","(192,152,576,696)",,,,,,
Contribution to bonus and welfare funds (iv),Contribution to bonus and welfare funds (iv),Contribution to bonus and welfare funds (iv),-,-,-,-,"(28,130,000,000)","(28,130,000,000)",,,,,,
Ending balance,Ending balance,Ending balance,"4,850,973,830,000","4,142,389,791,759","10,709,490,423","2,216,611,139","3,655,935,571,970","12,662,225,295,291",,,,,,
"(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.","(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.","(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.","(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.","(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.","(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.","(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.","(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.","(i) In accordance with the Resolution of the Annual General Meeting of Shareholders No. 01/2024/NQ/DHDCD/NLG dated 20 April 2024 and the Resolution of the Board of Directors No. 67/2024/NQ/HDQT/NLG dated 31 December 2024, the Company completed the issuance of 297,833 shares under the Employee Stock Ownership Plan (""ESOP"") on 8 January 2025. On 17 February 2025, the Company received the 27th amended Enterprise Registration Certificate issued by the Ho Chi Minh City Department of Planning and Investment, approving the increase in charter capital from VND 3,847,774,710,000 to VND 3,850,753,040,000.",,,,,,
