row_label_raw,row_label_full,Buildings and structures,25 - 47 years,numeric__25 - 47 years
Machinery and equipment,Machinery and equipment,Machinery and equipment,5 - 12 years,
Means of transportation,Means of transportation,Means of transportation,6 - 8 years,
Office equipment and furniture,Office equipment and furniture,Office equipment and furniture,3 - 8 years,
Computer software,Computer software,Computer software,3 - 5 years,
Land use rights,Land use rights,Land use rights,47 years,
Other assets,Other assets,Other assets,3 - 5 years,
