row_label_raw,row_label_full,Related parties,Transactions,Current year,VND Previous year,numeric__Transactions,numeric__Current year,numeric__VND Previous year
NNH Mizuki,NNH Mizuki,NNH Mizuki,Dividend received Project management services revenue (*),"75,000,000,000","256,084,000,000",,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Dividend received Project management services revenue (*),"6,964,288,689","105,618,374,094",,,
Paragon,Paragon,Paragon,Capital contribution Project management services revenue (*),"73,660,000,000","55,000,000,000",,,
Paragon,Paragon,Paragon,Capital contribution Project management services revenue (*),-,"128,242,901",,,
DNWF,DNWF,DNWF,Project management services (*),"33,366,396,979",-,,,
"Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.",Project management services revenue (*),"49,772,485","62,408,834",,,
"Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.","Anabuki NL Housing Service Vietnam Co., Ltd.",Management fee,-,"1,340,878,899",,,
(*) Sales to related parties (Note 29),(*) Sales to related parties (Note 29),(*) Sales to related parties (Note 29),(*) Sales to related parties (Note 29),"40,380,458,153","105,809,025,829",,,
