row_label_raw,row_label_full,col_0,Land use rights,Computer software,VND Total,numeric__Land use rights,numeric__Computer software,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,
Beginning balance,Beginning balance,Beginning balance,"15,697,231,213","123,456,137,634","139,153,368,847",,,
Disposal of subsidiary,Disposal of subsidiary,Disposal of subsidiary,-,"(291,165,500)","(291,165,500)",,,
Ending balance,Ending balance,Ending balance,"15,697,231,213","123,164,972,134","138,862,203,347",,,
In which: Fully amortised,In which: Fully amortised,In which: Fully amortised,-,"21,765,051,200","21,765,051,200",,,
Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,,,
Beginning balance,Beginning balance,Beginning balance,"(2,655,225,945)","(65,699,302,611)","(68,354,528,556)",,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,"(82,252,020)","(22,379,202,875)","(22,461,454,895)",,,
Disposal of subsidiary,Disposal of subsidiary,Disposal of subsidiary,-,"257,184,467","257,184,467",,,
Ending balance,Ending balance,Ending balance,"(2,737,477,965)","(87,821,321,019)","(90,558,798,984)",,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,
Beginning balance,Beginning balance,Beginning balance,"13,042,005,268","57,756,835,023","70,798,840,291",,,
Ending balance,Ending balance,Ending balance,"12,959,753,248","35,343,651,115","48,303,404,363",,,
In which: Pledged as loans security (Note 23),In which: Pledged as loans security (Note 23),In which: Pledged as loans security (Note 23),"2,506,932,943",-,"2,506,932,943",,,
