row_label_raw,row_label_full,Entities,Business,Ending balance,Beginning balance,numeric__Business,numeric__Ending balance,numeric__Beginning balance
Entities,Entities,Entities,Business,Interest and voting right,Interest and voting right,,,
Entities,Entities,Entities,Business,%,%,,,
Dong Nai Waterfront City LLC (i),Entities > Dong Nai Waterfront City LLC (i),Dong Nai Waterfront City LLC (i),Real Estate,50.00,-,,5000.0,
Paragon Dai Phuoc Limited Company (ii),Entities > Paragon Dai Phuoc Limited Company (ii),Paragon Dai Phuoc Limited Company (ii),Real Estate,50.53,50.00,,5053.0,5000.0
NNH Mizuki Joint Stock Company (iii),Entities > NNH Mizuki Joint Stock Company (iii),NNH Mizuki Joint Stock Company (iii),Real Estate,50.00,50.00,,5000.0,5000.0
"Anabuki NL Housing Service Vietnam Co., Ltd. (""Anabuki"") (iv)","Entities > Anabuki NL Housing Service Vietnam Co., Ltd. (""Anabuki"") (iv)","Anabuki NL Housing Service Vietnam Co., Ltd. (""Anabuki"") (iv)",Real estate,30.59,30.59,,3059.0,3059.0
