row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Remunerations for members of the BOD (*),Remunerations for members of the BOD (*),Remunerations for members of the BOD (*),"17,636,639,331","17,633,261,522",,
Remunerations for members of the Management (**),Remunerations for members of the Management (**),Remunerations for members of the Management (**),"41,533,760,396","42,685,322,767",,
TOTAL,TOTAL,TOTAL,"59,170,399,727","60,318,584,289",,
