row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
DNWF,Phải thu ngắn hạn của khách hàng > DNWF,DNWF,Dịch vụ tư vấn quản lý,136.349.076.679,-,,136349076679.0,
NNH Mizuki,Phải thu ngắn hạn của khách hàng > NNH Mizuki,NNH Mizuki,Dịch vụ tư vấn quản lý,5.596.025.553,55.740.925.659,,5596025553.0,55740925659.0
Công ty TNHH Anabuki NL Housing Service Việt Nam,Phải thu ngắn hạn của khách hàng > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,Dịch vụ tư vấn quản lý,2.478.065.884,2.478.065.884,,2478065884.0,2478065884.0
Paragon,Phải thu ngắn hạn của khách hàng > Paragon,Paragon,Dịch vụ tư vấn quản lý,-,66.973.000.000,,,66973000000.0
,,,,144.423.168.116,125.191.991.543,,144423168116.0,125191991543.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
NNH Mizuki,Trả trước cho người bán ngắn hạn > NNH Mizuki,NNH Mizuki,Tạm ứng mua hàng,2.000.000.000,-,,2000000000.0,
Công ty TNHH Anabuki NL Housing Service Việt Nam,Trả trước cho người bán ngắn hạn > Công ty TNHH Anabuki NL Housing Service Việt Nam,Công ty TNHH Anabuki NL Housing Service Việt Nam,Tạm ứng dịch vụ tư vấn,154.440.000,381.440.000,,154440000.0,381440000.0
,,,,2.154.440.000,381.440.000,,2154440000.0,381440000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
NNH Mizuki,Phải thu ngắn hạn khác > NNH Mizuki,NNH Mizuki,Phải thu từ HĐHTKD,55.445.462.994,55.445.462.994,,55445462994.0,55445462994.0
NNH Mizuki,Phải thu ngắn hạn khác > NNH Mizuki,NNH Mizuki,Thu nhập cổ tức,3.600.000.000,4.527.312.825,,3600000000.0,4527312825.0
Anabuki NL,Phải thu ngắn hạn khác > Anabuki NL,Anabuki NL,Dịch vụ,627.312.825,-,,627312825.0,
DNWF,Phải thu ngắn hạn khác > DNWF,DNWF,Dịch vụ,151.108.245,-,,151108245.0,
,,,,59.823.884.064,59.972.775.819,,59823884064.0,59972775819.0
Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,,,
DNWF,Phải thu cho vay dài hạn > DNWF,DNWF,Phải thu cho vay (*),435.127.112.000,-,,435127112000.0,
