row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,39.790.252.840,8.881.514.083,1.216.005.358,49.887.772.281,39790252840.0,8881514083.0,1216005358.0,49887772281.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,-,9.210.000.000,-,9.210.000.000,,9210000000.0,,9210000000.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,1.019.950.000,-,1.019.950.000,,1019950000.0,,1019950000.0
- Thanh lý,Nguyên giá > - Thanh lý,- Thanh lý,-,(1.105.346.475),-,(1.105.346.475),,-1105346475.0,,-1105346475.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,39.790.252.840,18.006.117.608,1.216.005.358,59.012.375.806,39790252840.0,18006117608.0,1216005358.0,59012375806.0
Trong đó: Đã hao mòn hết,Nguyên giá > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,6.244.885.849,1.216.005.358,7.460.891.207,,6244885849.0,1216005358.0,7460891207.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,7.724.198.326,1.216.005.358,8.940.203.684,,7724198326.0,1216005358.0,8940203684.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,-,1.514.256.725,-,1.514.256.725,,1514256725.0,,1514256725.0
- Thanh lý,Giá trị hao mòn lũy kế > - Thanh lý,- Thanh lý,-,(1.105.346.475),-,(1.105.346.475),,-1105346475.0,,-1105346475.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,8.133.108.576,1.216.005.358,9.349.113.934,,8133108576.0,1216005358.0,9349113934.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,39.790.252.840,1.157.315.757,-,40.947.568.597,39790252840.0,1157315757.0,,40947568597.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,39.790.252.840,9.873.009.032,-,49.663.261.872,39790252840.0,9873009032.0,,49663261872.0
Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 22.1),Giá trị còn lại > Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 22.1),Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 22.1),4.500.924.600,-,-,4.500.924.600,4500924600.0,,,4500924600.0
