row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác (Thuyết minh số 10),Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 10),Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 10),Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 10),Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 10),numeric__Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 10),numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 10),numeric__Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 10),numeric__Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 10)
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Ký quỹ thuê văn phòng,3.032.897.937,3.229.457.937,,,3032897937.0,3229457937.0
Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),,,,
Công ty TNHH MTV Máy Xây dựng Matec,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty con,Thuê máy móc,233.365.597.504,226.028.035.030,,,233365597504.0,226028035030.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí thầu phụ,155.084.373.237,125.275.073.076,,,155084373237.0,125275073076.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phí thầu phụ,61.787.260.209,34.637.249.745,,,61787260209.0,34637249745.0
Công ty Cổ phần Interhouse LA,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty con,Chi phí thầu phụ,55.436.998.878,568.599.672,,,55436998878.0,568599672.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phí thầu phụ,28.960.628.950,38.901.426.107,,,28960628950.0,38901426107.0
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con,Chi phí thầu phụ,4.197.113.851,6.047.074.602,,,4197113851.0,6047074602.0
Công ty TNHH Sơn Hòa Bình,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí thầu phụ,3.480.486.897,2.512.322.620,,,3480486897.0,2512322620.0
Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty con,Mua vật tư xây dựng,2.148.185.107,3.014.850.072,,,2148185107.0,3014850072.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Chi phí thầu phụ,994.075.040,994.075.040,,,994075040.0,994075040.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty liên kết,Chi phí thầu phụ,319.613.673,-,,,319613673.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phí thầu phụ,15.000.000,78.250.000,,,15000000.0,78250000.0
Công ty TNHH Bất Đông Sản Pax Land,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH Bất Đông Sản Pax Land,Công ty TNHH Bất Đông Sản Pax Land,Công ty con,Chi phí thầu phụ,-,7.387.600.000,,,,7387600000.0
Công ty Cổ phần Nhà Hòa Bình,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Thuê văn phòng,-,615.372.809,,,,615372809.0
Công ty Cổ phần Bất động sản Okamura Sanyo,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty con,Thuê văn phòng,-,113.100.000,,,,113100000.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 17) > TỔNG CỘNG,TỔNG CỘNG,,,545.789.333.346,446.173.028.773,,,545789333346.0,446173028773.0
