row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__VND Số cuối năm
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,101.991.997.360,99.827.568.432,(144.791.997.360),57.027.568.432,101991997360.0,99827568432.0,-144791997360.0,57027568432.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,206.649.675.471,486.147.998.629,(558.017.408.015),134.780.266.085,206649675471.0,486147998629.0,-558017408015.0,134780266085.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.446.826.129,53.528.823.940,(57.074.880.206),2.900.769.863,6446826129.0,53528823940.0,-57074880206.0,2900769863.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,315.088.498.960,639.504.391.001,(759.884.285.581),194.708.604.380,315088498960.0,639504391001.0,-759884285581.0,194708604380.0
