row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,68.225.623.660,120.966.101.901,68225623660.0,120966101901.0
Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,52.663.056.548,97.424.470.859,52663056548.0,97424470859.0
Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,2.066.556.617,1.560.792.233,2066556617.0,1560792233.0
Khác,Khác,Khác,13.496.010.495,21.980.838.809,13496010495.0,21980838809.0
Dài hạn,Dài hạn,Dài hạn,258.812.032.946,252.237.381.411,258812032946.0,252237381411.0
Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,159.592.870.016,163.720.383.167,159592870016.0,163720383167.0
Tiền thuê đất trả trước,Tiền thuê đất trả trước,Tiền thuê đất trả trước,57.085.135.252,58.333.342.612,57085135252.0,58333342612.0
Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,14.306.490.534,15.083.305.942,14306490534.0,15083305942.0
Khác,Khác,Khác,27.827.537.144,15.100.349.690,27827537144.0,15100349690.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,327.037.656.606,373.203.483.312,327037656606.0,373203483312.0
