row_label_raw,row_label_full,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty con,Dịch vụ xây dựng,72.970.359.358,19.099.081.310,numeric__Công ty con,numeric__Dịch vụ xây dựng,numeric__72.970.359.358,numeric__19.099.081.310
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Dịch vụ xây dựng,562.650.000,-,,,562650000.0,
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Dịch vụ xây dựng,399.413.096,-,,,399413096.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,73.932.422.454,19.099.081.310,,,73932422454.0,19099081310.0
