row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Đi vay,Số phát sinh trong năm > Trả nợ gốc vay,Số phát sinh trong năm > Phân loại lại,VND > Số cuối năm > Giá trị,VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Đi vay,numeric__Số phát sinh trong năm > Trả nợ gốc vay,numeric__Số phát sinh trong năm > Phân loại lại,numeric__VND > Số cuối năm > Giá trị,numeric__VND > Số cuối năm > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,3.891.526.080.219,3.891.526.080.219,12.778.435.747.153,(12.283.822.230.416),105.865.034.318,4.492.004.631.274,4.492.004.631.274,3891526080219.0,3891526080219.0,12778435747153.0,-12283822230416.0,105865034318.0,4492004631274.0,4492004631274.0
Vay ngân hàng (Thuyết minh số 22.1),Vay ngân hàng (Thuyết minh số 22.1),Vay ngân hàng (Thuyết minh số 22.1),3.778.660.589.062,3.778.660.589.062,12.776.435.747.153,(12.172.180.561.740),-,4.382.915.774.475,4.382.915.774.475,3778660589062.0,3778660589062.0,12776435747153.0,-12172180561740.0,,4382915774475.0,4382915774475.0
Vay bên khác (Thuyết minh số 22.2),Vay bên khác (Thuyết minh số 22.2),Vay bên khác (Thuyết minh số 22.2),3.923.822.481,3.923.822.481,2.000.000.000,(2.700.000.000),-,3.223.822.481,3.223.822.481,3923822481.0,3923822481.0,2000000000.0,-2700000000.0,,3223822481.0,3223822481.0
Vay dài hạn đến hạn trả (Thuyết minh số 22.3),Vay dài hạn đến hạn trả (Thuyết minh số 22.3),Vay dài hạn đến hạn trả (Thuyết minh số 22.3),108.941.668.676,108.941.668.676,-,(108.941.668.676),105.865.034.318,105.865.034.318,105.865.034.318,108941668676.0,108941668676.0,,-108941668676.0,105865034318.0,105865034318.0,105865034318.0
Dài hạn,Dài hạn,Dài hạn,149.824.381.215,149.824.381.215,124.411.798.330,(14.647.200.000),(105.865.034.318),153.723.945.227,153.723.945.227,149824381215.0,149824381215.0,124411798330.0,-14647200000.0,-105865034318.0,153723945227.0,153723945227.0
Vay dài hạn ngân hàng (Thuyết minh số 22.3),Vay dài hạn ngân hàng (Thuyết minh số 22.3),Vay dài hạn ngân hàng (Thuyết minh số 22.3),146.180.181.215,146.180.181.215,124.411.798.330,(11.003.000.000),(105.865.034.318),153.723.945.227,153.723.945.227,146180181215.0,146180181215.0,124411798330.0,-11003000000.0,-105865034318.0,153723945227.0,153723945227.0
Vay dài hạn bên liên quan (Thuyết minh số 31),Vay dài hạn bên liên quan (Thuyết minh số 31),Vay dài hạn bên liên quan (Thuyết minh số 31),3.644.200.000,3.644.200.000,-,(3.644.200.000),-,-,-,3644200000.0,3644200000.0,,-3644200000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.041.350.461.434,4.041.350.461.434,12.902.847.545.483,(12.298.469.430.416),-,4.645.728.576.501,4.645.728.576.501,4041350461434.0,4041350461434.0,12902847545483.0,-12298469430416.0,,4645728576501.0,4645728576501.0
