row_label_raw,row_label_full,col_0,Số đầu năm,Dự phòng trích lập trong năm,Hoàn nhập dự phòng trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Dự phòng trích lập trong năm,numeric__Hoàn nhập dự phòng trong năm,numeric__VND Số cuối năm
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,(124.165.337.452),(36.291.563.516),11.416.568.212,(149.040.332.756),-124165337452.0,-36291563516.0,11416568212.0,-149040332756.0
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,-,(2.800.679.645),2.800.679.645,-,,-2800679645.0,2800679645.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(124.165.337.452),(39.092.243.161),14.217.247.857,(149.040.332.756),-124165337452.0,-39092243161.0,14217247857.0,-149040332756.0
