row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.124.410.448,1.947.504.727.571,49.765.931.666,18.649.974.788,2.021.045.044.473,5124410448.0,1947504727571.0,49765931666.0,18649974788.0,2021045044473.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,-,60.390.356.588,534.000.000,1.104.347.274,62.028.703.862,,60390356588.0,534000000.0,1104347274.0,62028703862.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,84.416.224.628,7.926.174.628,-,92.342.399.256,,84416224628.0,7926174628.0,,92342399256.0
- Thanh lý,Nguyên giá > - Thanh lý,- Thanh lý,-,(136.468.375.902),(1.114.135.998),(735.566.939),(138.318.078.839),,-136468375902.0,-1114135998.0,-735566939.0,-138318078839.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.124.410.448,1.955.842.932.885,57.111.970.296,19.018.755.123,2.037.098.068.752,5124410448.0,1955842932885.0,57111970296.0,19018755123.0,2037098068752.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,155.153.200.993,4.565.350.728,5.330.637.272,165.049.188.993,,155153200993.0,4565350728.0,5330637272.0,165049188993.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,996.931.010,724.503.961.230,18.396.693.924,10.979.458.112,754.877.044.276,996931010.0,724503961230.0,18396693924.0,10979458112.0,754877044276.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,750.383.604,220.264.209.144,5.321.395.616,2.340.205.311,228.676.193.675,750383604.0,220264209144.0,5321395616.0,2340205311.0,228676193675.0
- Thanh lý,Giá trị khấu hao lũy kế > - Thanh lý,- Thanh lý,-,(109.426.192.916),(1.114.135.998),(696.717.106),(111.237.046.020),,-109426192916.0,-1114135998.0,-696717106.0,-111237046020.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,1.747.314.614,835.341.977.458,22.603.953.542,12.622.946.317,872.316.191.931,1747314614.0,835341977458.0,22603953542.0,12622946317.0,872316191931.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,4.127.479.438,1.223.000.766.341,31.369.237.742,7.670.516.676,1.266.168.000.197,4127479438.0,1223000766341.0,31369237742.0,7670516676.0,1266168000197.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.377.095.834,1.120.500.955.427,34.508.016.754,6.395.808.806,1.164.781.876.821,3377095834.0,1120500955427.0,34508016754.0,6395808806.0,1164781876821.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1 và 22.3),160.589.446,193.513.897.328,1.766.828.460,-,195.441.315.234,160589446.0,193513897328.0,1766828460.0,,195441315234.0
