row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 10),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 10),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 10),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 10),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 10)
Ban lãnh đạo,Ban lãnh đạo,Ban lãnh đạo,,Tạm ứng lương,25.663.175.995,-,,,25663175995.0,
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phí trả hộCổ tức phải thu,10.679.965.477817.042.821,19.131.1581.715.757.449,,,1.0679965477817043e+19,1.9131158171575744e+17
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí trả hộ,1.986.002.080,280.082.590,,,1986002080.0,280082590.0
Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty con,Chi phí trả hộ,1.382.536.766,1.382.536.766,,,1382536766.0,1382536766.0
Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty con,Lãi phạt chậm thanh toán,802.557.833,123.941.730,,,802557833.0,123941730.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Cho thuê văn phòngChi phí trả hộ,316.325.183,-91.045.856,,,316325183.0,-91045856.0
Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty con,Chi phí trả hộ,169.519.247,169.519.247,,,169519247.0,169519247.0
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty con,Chi phí trả hộ,109.201.062,240.374.058,,,109201062.0,240374058.0
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty con,Chi phí trả hộ,84.641.400,250.386.569,,,84641400.0,250386569.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí trả hộ,33.300.909,-,,,33300909.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,42.044.268.773,4.272.775.423,,,42044268773.0,4272775423.0
