row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Kinh doanh chuyển nhượng bất động sản Triệu VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,Khác Triệu VND,Hợp nhất Triệu VND,numeric__Kinh doanh chuyển nhượng bất động sản Triệu VND,numeric__Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,numeric__Khác Triệu VND,numeric__Hợp nhất Triệu VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,797.398,32.822.362,389.738,34.009.498,797398.0,32822362.0,389738.0,34009498.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,3.863.990,,,,3863990.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,37.873.488,,,,37873488.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.090.595,2.246.125,95.036,3.431.756,1090595.0,2246125.0,95036.0,3431756.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,3.790.903,,,,3790903.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,7.222.659,,,,7222659.0
Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi tiêu vốn,Chi tiêu vốn,-,291.854,-,291.854,,291854.0,,291854.0
Khấu hạo tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khấu hạo tài sản cố định hữu hình,Khấu hạo tài sản cố định hữu hình,-,19.828,14.334,34.162,,19828.0,14334.0,34162.0
Phân bổ tài sản cố định vô hình và lợi thế thương mại,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Phân bổ tài sản cố định vô hình và lợi thế thương mại,Phân bổ tài sản cố định vô hình và lợi thế thương mại,-,80.363,-,80.363,,80363.0,,80363.0
Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,1.373.699,-,1.373.699,,1373699.0,,1373699.0
