row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sãnkhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sãnkhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,280.898,265.426,23.766,25.543,595.633,280898.0,265426.0,23766.0,25543.0,595633.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,32.335,462,-,32.797,,32335.0,462.0,,32797.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(4.478),(3.858),(1.024),(49),(9.409),-4478.0,-3858.0,-1024.0,-49.0,-9409.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,276.420,293.903,23.204,25.494,619.021,276420.0,293903.0,23204.0,25494.0,619021.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,22.461,120.560,12.226,10.180,165.427,22461.0,120560.0,12226.0,10180.0,165427.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.509,23.964,2.986,2.703,34.162,4509.0,23964.0,2986.0,2703.0,34162.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.606),(3.365),(1.024),(49),(7.044),-2606.0,-3365.0,-1024.0,-49.0,-7044.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,24.364,141.159,14.188,12.834,192.545,24364.0,141159.0,14188.0,12834.0,192545.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,258.437,144.866,11.540,15.363,430.206,258437.0,144866.0,11540.0,15363.0,430206.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,252.056,152.744,9.016,12.660,426.476,252056.0,152744.0,9016.0,12660.0,426476.0
