row_label_raw,row_label_full,col_0,Mãsố,Thuyếtminh,31/12/2021Triệu VND,1/1/2021Triệu VND,numeric__Mãsố,numeric__Thuyếtminh,numeric__31/12/2021Triệu VND,numeric__1/1/2021Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,30.650.829,29.335.816,400.0,,30650829.0,29335816.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,29,30.650.829,29.335.816,410.0,29.0,30650829.0,29335816.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,30,23.288.184,23.288.184,411.0,30.0,23288184.0,23288184.0
- Cổ phiếu phố thông có quyềnbiểu quyết,- Cổ phiếu phố thông có quyềnbiểu quyết,- Cổ phiếu phố thông có quyềnbiểu quyết,411a,,23.288.184,23.288.184,,,23288184.0,23288184.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,46.983,46.983,412.0,,46983.0,46983.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(1.954.258),(1.954.258),415.0,,-1954258.0,-1954258.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,(53.420),(53.420),420.0,,-53420.0,-53420.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,9.288.513,7.974.003,421.0,,9288513.0,7974003.0
- LNST chưa phân phối lũy kếđến cuối năm trước,- LNST chưa phân phối lũy kếđến cuối năm trước,- LNST chưa phân phối lũy kếđến cuối năm trước,421a,,7.974.003,5.592.148,,,7974003.0,5592148.0
- LNST năm nay,- LNST năm nay,- LNST năm nay,421b,,1.314.510,2.381.855,,,1314510.0,2381855.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,34.827,34.324,429.0,,34827.0,34324.0
TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),440,,37.873.488,39.816.432,440.0,,37873488.0,39816432.0
