row_label_raw,row_label_full,col_0,Mãsố,Thuyếtminh,31/12/2021Triệu VND,1/1/2021Triệu VND,numeric__Mãsố,numeric__Thuyếtminh,numeric__31/12/2021Triệu VND,numeric__1/1/2021Triệu VND
Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),200,,31.046.908,32.804.035,200.0,,31046908.0,32804035.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,6.110,8.308,210.0,,6110.0,8308.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,10(b),6.110,8.308,216.0,,6110.0,8308.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,438.775,450.233,220.0,,438775.0,450233.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,14,426.476,430.206,221.0,14.0,426476.0,430206.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,619.021,595.633,222.0,,619021.0,595633.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(192.545),(165.427),223.0,,-192545.0,-165427.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,15,12.299,20.027,227.0,15.0,12299.0,20027.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,54.443,54.391,228.0,,54443.0,54391.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(42.144),(34.364),229.0,,-42144.0,-34364.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,16,26.268.764,27.732.173,230.0,16.0,26268764.0,27732173.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,33.609.120,33.710.220,231.0,,33609120.0,33710220.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(7.340.356),(5.978.047),232.0,,-7340356.0,-5978047.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,1.255.909,959.231,240.0,,1255909.0,959231.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,17,1.255.909,959.231,242.0,17.0,1255909.0,959231.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,3.077.350,3.654.090,260.0,,3077350.0,3654090.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,18(b),395.287,514.162,261.0,,395287.0,514162.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,19,16.032,16.032,262.0,19.0,16032.0,16032.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,13,2.404.420,2.789.702,268.0,13.0,2404420.0,2789702.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,20,261.611,334.194,269.0,20.0,261611.0,334194.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,37.873.488,39.816.432,270.0,,37873488.0,39816432.0
