row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2021Triệu VND,1/1/2021Triệu VND,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,263.376,357.888,263376.0,357888.0
Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,2.013,3.834,2013.0,3834.0
Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,20.947,25.360,20947.0,25360.0
Công ty Cổ phần Vinpearl,Công ty Cổ phần Vinpearl,Công ty Cổ phần Vinpearl,82.575,103.294,82575.0,103294.0
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,118.663,92.725,118663.0,92725.0
Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,9.296,123.173,9296.0,123173.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,29.882,9.502,29882.0,9502.0
Các bên thức ba,Các bên thức ba,Các bên thức ba,262.807,430.474,262807.0,430474.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,262.807,430.474,262807.0,430474.0
,,,526.183,788.362,526183.0,788362.0
