row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2021 Triệu VND,2020 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2021 Triệu VND,numeric__2020 Triệu VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,32,5.891.141,8.328.918,1.0,32.0,5891141.0,8328918.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,32,-,-,2.0,32.0,,
Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),10,32,5.891.141,8.328.918,10.0,32.0,5891141.0,8328918.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,33,3.499.036,4.507.631,11.0,33.0,3499036.0,4507631.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,2.392.105,3.821.287,20.0,,2392105.0,3821287.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,34,387.018,275.859,21.0,34.0,387018.0,275859.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,35,486.280,467.092,22.0,35.0,486280.0,467092.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,486.176,463.586,23.0,,486176.0,463586.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,36,201.764,330.040,25.0,36.0,201764.0,330040.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,37,433.167,398.568,26.0,37.0,433167.0,398568.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,1.657.912,2.901.446,30.0,,1657912.0,2901446.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,38,84.095,123.527,31.0,38.0,84095.0,123527.0
Chi phí khác,Chi phí khác,Chi phí khác,32,39,49.730,32.253,32.0,39.0,49730.0,32253.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,34.365,91.274,40.0,,34365.0,91274.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,1.692.277,2.992.720,50.0,,1692277.0,2992720.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,41,379.237,619.241,51.0,41.0,379237.0,619241.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,41,(1.973),(8.830),52.0,41.0,-1973.0,-8830.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang tiếp theo),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang tiếp theo),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang tiếp theo),60,,1.315.013,2.382.309,60.0,,1315013.0,2382309.0
