row_label_raw,row_label_full,col_0,Trong nước,Trong nước_1,Xuất khẩu,Xuất khẩu_1,Tổng cộng,Tổng cộng_1,numeric__Trong nước,numeric__Trong nước_1,numeric__Xuất khẩu,numeric__Xuất khẩu_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay,Năm trước,Năm nay,Năm trước,Năm nay,Năm trước,,,,,,
Doanh thu,Doanh thu,Doanh thu,10.665.252.958.805,9.042.506.962.551,6.781.618.619.017,5.947.854.017.523,17.446.871.577.822,14.990.360.980.074,10665252958805.0,9042506962551.0,6781618619017.0,5947854017523.0,17446871577822.0,14990360980074.0
Giá vốn,Giá vốn,Giá vốn,(8.547.682.145.156),(7.662.704.741.381),(6.321.673.208.092),(5.577.420.539.648),(14.869.355.353.248),(13.240.125.281.029),-8547682145156.0,-7662704741381.0,-6321673208092.0,-5577420539648.0,-14869355353248.0,-13240125281029.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,2.117.570.813.649,1.379.802.221.170,459.945.410.925,370.433.477.875,2.577.516.224.574,1.750.235.699.045,2117570813649.0,1379802221170.0,459945410925.0,370433477875.0,2577516224574.0,1750235699045.0
