row_label_raw,row_label_full,Phải thu bên liên quan (Thuyết minh số 32),Số cuối năm > 90.183.227.000,VND Số đầu năm > 90.183.227.000,numeric__Số cuối năm > 90.183.227.000,numeric__VND Số đầu năm > 90.183.227.000
Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,38.580.235.383,16.761.942.226,38580235383.0,16761942226.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,128.763.462.383,106.945.169.226,128763462383.0,106945169226.0
