row_label_raw,row_label_full,Ông Lê Vũ Nam,Trường ban,col_2,numeric__Trường ban,numeric__col_2
Ông Lê Đình Hạnh,Ông Lê Đình Hạnh,Ông Lê Đình Hạnh,Thành viên,,,
Ông Lý Văn Xuân,Ông Lý Văn Xuân,Ông Lý Văn Xuân,Thành viên,từ nhiệm ngày 31 tháng 7 năm 2015,,
