row_label_raw,row_label_full,Số cuối năm,Dưới 1 năm > Số cuối năm,Trên 1 năm > Số cuối năm,VND Tổng > Số cuối năm,numeric__Dưới 1 năm > Số cuối năm,numeric__Trên 1 năm > Số cuối năm,numeric__VND Tổng > Số cuối năm
Vay và nợ,Vay và nợ,Vay và nợ,4.521.014.461.847,970.299.171.023,5.491.313.632.870,4521014461847.0,970299171023.0,5491313632870.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,626.270.248.080,-,626.270.248.080,626270248080.0,,626270248080.0
"Chi phí phải trả và các khoản phải trả, phải nộp khác","Chi phí phải trả và các khoản phải trả, phải nộp khác","Chi phí phải trả và các khoản phải trả, phải nộp khác",80.487.252.264,-,80.487.252.264,80487252264.0,,80487252264.0
,,,5.227.771.962.191,970.299.171.023,6.198.071.133.214,5227771962191.0,970299171023.0,6198071133214.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Vay và nợ,Số đầu năm > Vay và nợ,Vay và nợ,4.756.010.502.749,953.820.775.299,5.709.831.278.048,4756010502749.0,953820775299.0,5709831278048.0
Phải trả người bán,Số đầu năm > Phải trả người bán,Phải trả người bán,1.885.979.467.059,-,1.885.979.467.059,1885979467059.0,,1885979467059.0
Các khoản phải trả khác và chi phí phải trả,Số đầu năm > Các khoản phải trả khác và chi phí phải trả,Các khoản phải trả khác và chi phí phải trả,43.757.038.405,-,43.757.038.405,43757038405.0,,43757038405.0
,,,6.685.747.008.213,953.820.775.299,7.639.567.783.512,6685747008213.0,953820775299.0,7639567783512.0
