row_label_raw,row_label_full,Số đầu kỳ và số cuối kỳ,1.007.907.900.000,1.007.907.900.000_1,numeric__1.007.907.900.000,numeric__1.007.907.900.000_1
Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,,
Cổ tức đã công bố,Cổ tức > Cổ tức đã công bố,Cổ tức đã công bố,144.469.647.000,192.626.196.000,144469647000.0,192626196000.0
Cổ tức đã trả bằng tiền,Cổ tức > Cổ tức đã trả bằng tiền,Cổ tức đã trả bằng tiền,144.058.665.375,192.217.558.300,144058665375.0,192217558300.0
