row_label_raw,row_label_full,Chi phí thuế TNDN hiện hành Điều chỉnh chi phí thuế TNDN trích thiếu năm trước,Năm nay > 207.702.023.401 > 1.627.302,VNDNăm trước > 127.862.436.485 > 372.425.475,numeric__Năm nay > 207.702.023.401 > 1.627.302,numeric__VNDNăm trước > 127.862.436.485 > 372.425.475
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(28.262.922.117),(15.188.354.027),-28262922117.0,-15188354027.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,179.440.728.586,113.046.507.933,179440728586.0,113046507933.0
