row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,187.781.385.228,10.166.363.635,197.947.748.863,187781385228.0,10166363635.0,197947748863.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,106.803.512.083,10.166.363.635,116.969.875.718,106803512083.0,10166363635.0,116969875718.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá: > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(30.987.116.489),-,(30.987.116.489),-30987116489.0,,-30987116489.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,263.597.780.822,20.332.727.270,283.930.508.092,263597780822.0,20332727270.0,283930508092.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(32.206.272.413),(559.677.379),(32.765.949.792),-32206272413.0,-559677379.0,-32765949792.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(31.142.891.003),(1.509.190.522),(32.652.081.525),-31142891003.0,-1509190522.0,-32652081525.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao lũy kế: > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,7.139.245.725,-,7.139.245.725,7139245725.0,,7139245725.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(56.209.917.691),(2.068.867.901),(58.278.785.592),-56209917691.0,-2068867901.0,-58278785592.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,155.575.112.815,9.606.686.256,165.181.799.071,155575112815.0,9606686256.0,165181799071.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,207.387.863.131,18.263.859.369,225.651.722.500,207387863131.0,18263859369.0,225651722500.0
