row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm > Nguyên giá,Giá trị ghi số > Số cuối năm > Dự phòng,Giá trị ghi số > Số đầu năm > Nguyên giá,Giá trị ghi số > Số đầu năm > Dự phòng,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi số > Số cuối năm > Nguyên giá,numeric__Giá trị ghi số > Số cuối năm > Dự phòng,numeric__Giá trị ghi số > Số đầu năm > Nguyên giá,numeric__Giá trị ghi số > Số đầu năm > Dự phòng,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,462.253.669.867,(4.240.144.419),639.941.451.617,(3.182.504.336),458.013.525.448,636.758.947.281,462253669867.0,-4240144419.0,639941451617.0,-3182504336.0,458013525448.0,636758947281.0
Phải thu bên liên quan,Tài sản tài chính > Phải thu bên liên quan,Phải thu bên liên quan,91.515.013.050,-,90.233.827.000,-,91.515.013.050,90.233.827.000,91515013050.0,,90233827000.0,,91515013050.0,90233827000.0
Phải thu khác,Tài sản tài chính > Phải thu khác,Phải thu khác,48.471.894.583,-,16.837.034.238,-,48.471.894.583,16.837.034.238,48471894583.0,,16837034238.0,,48471894583.0,16837034238.0
Tài sản tài chính dài hạn khác,Tài sản tài chính > Tài sản tài chính dài hạn khác,Tài sản tài chính dài hạn khác,28.585.549.901,-,4.415.549.901,-,28.585.549.901,4.415.549.901,28585549901.0,,4415549901.0,,28585549901.0,4415549901.0
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,4.367.000.000,-,8.640.000.000,-,4.367.000.000,8.640.000.000,4367000000.0,,8640000000.0,,4367000000.0,8640000000.0
Tiền và tương đương tiền,Tài sản tài chính > Tiền và tương đương tiền,Tiền và tương đương tiền,276.693.474.303,-,155.963.095.793,-,276.693.474.303,155.963.095.793,276693474303.0,,155963095793.0,,276693474303.0,155963095793.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,911.886.601.704,(4.240.144.419),916.030.958.549,(3.182.504.336),907.646.457.285,912.848.454.213,911886601704.0,-4240144419.0,916030958549.0,-3182504336.0,907646457285.0,912848454213.0
,,,,,Giá trị ghi số,Giá trị ghi số,Giá trị hợp lý,Giá trị hợp lý,,,,,,
,,,,,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Vay,Nợ phải trả tài chính > Vay,Vay,,,5.491.313.632.870,5.709.831.278.048,5.491.313.632.870,5.709.831.278.048,,,5491313632870.0,5709831278048.0,5491313632870.0,5709831278048.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,,,626.132.304.095,1.885.958.760.040,626.132.304.095,1.885.958.760.040,,,626132304095.0,1885958760040.0,626132304095.0,1885958760040.0
Phải trả bên liên quan,Nợ phải trả tài chính > Phải trả bên liên quan,Phải trả bên liên quan,,,1.137.943.985,20.707.019,1.137.943.985,20.707.019,,,1137943985.0,20707019.0,1137943985.0,20707019.0
Các khoản phải trả khác và chi phí phải trả,Nợ phải trả tài chính > Các khoản phải trả khác và chi phí phải trả,Các khoản phải trả khác và chi phí phải trả,,,79.487.252.264,43.757.038.405,79.487.252.264,43.757.038.405,,,79487252264.0,43757038405.0,79487252264.0,43757038405.0
TỔNG CỘNG,Nợ phải trả tài chính > TỔNG CỘNG,TỔNG CỘNG,,,6.198.071.133.214,7.639.567.783.512,6.198.071.133.214,7.639.567.783.512,,,6198071133214.0,7639567783512.0,6198071133214.0,7639567783512.0
