row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu:,Tổng doanh thu:,Tổng doanh thu:,17.469.894.530.725,15.005.074.576.304,17469894530725.0,15005074576304.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,13.780.568.305.421,12.515.189.659.910,13780568305421.0,12515189659910.0
Hàng hóa,Trong đó: > Hàng hóa,Hàng hóa,3.686.752.977.336,2.488.094.369.488,3686752977336.0,2488094369488.0
Hoạt động khác,Trong đó: > Hoạt động khác,Hoạt động khác,2.573.247.968,1.790.546.906,2573247968.0,1790546906.0
Các khoản giảm trừ doanh thu:,Trong đó: > Các khoản giảm trừ doanh thu:,Các khoản giảm trừ doanh thu:,(23.022.952.903),(14.713.596.230),-23022952903.0,-14713596230.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(9.174.845.515),(1.072.761.848),-9174845515.0,-1072761848.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(7.671.981.524),(11.726.618.268),-7671981524.0,-11726618268.0
Giám giá hàng bán,Trong đó: > Giám giá hàng bán,Giám giá hàng bán,(5.937.377.797),(1.914.216.114),-5937377797.0,-1914216114.0
Thuế xuất khẩu,Trong đó: > Thuế xuất khẩu,Thuế xuất khẩu,(238.748.067),-,-238748067.0,
DOANH THU THUÀN,Trong đó: > DOANH THU THUÀN,DOANH THU THUÀN,17.446.871.577.822,14.990.360.980.074,17446871577822.0,14990360980074.0
